Artikel,Kategorie
Sounding Persons für die Themenfelder Mobile Business und (smart) Internet of Things gesucht,Lehrstuhlnachrichten
"Unterrichtsmodul zur Künstlichen Intelligenz – von Studierenden, für Studierende",Lehrstuhlnachrichten
Virtual World Tour: Behind the Scenes,Lehrstuhlnachrichten
Fraunhofer IAO Virtual World Tour – Registrierung jetzt möglich,Lehrstuhlnachrichten
"Mein Interview: Neue Jobprofile wird es längst geben, bevor sie einen Namen haben",Lehrstuhlnachrichten
News vom Smartfeld,Lehrstuhlnachrichten
Enterprise Artificial Intelligence Studie – Interviewpartner gesucht!,Lehrstuhlnachrichten
Eröffnung Smartfeld,Lehrstuhlnachrichten
Insights aus unseren studentischen Projekten,Lehrstuhlnachrichten
Call for Papers,Lehrstuhlnachrichten
"Must Follow: Entwicklungen, Trends sowie Praxisbeispiele rund um das Thema «Programmieren für Kinder und Jugendliche»",Lehrstuhlnachrichten
Neues Lehrformat “xCamp@HSG”: Wie sich Online- und Präsenzlernen verbinden lassen,Lehrstuhlnachrichten
Neues Heft zum Thema “Innovate Innovation Management”,Lehrstuhlnachrichten
Darf ich vorstellen: Neues Gesicht am Lehrstuhl,Lehrstuhlnachrichten
CAS Digital Insurance Transformation,Lehrstuhlnachrichten
Neue Publikation: Exploring Innovation Practices for B2E Initiatives in the Digital Age,Lehrstuhlnachrichten
Neues Gesicht am Lehrstuhl,Lehrstuhlnachrichten
Agil als Managementprinzip macht Karriere: Agile Methoden sind über Softwareentwicklung – wie mit SCRUM – hinaus anwendbar,Lehrstuhlnachrichten
Coding spielend entdecken – für Kinder,Lehrstuhlnachrichten
"Digitale Transformation in der Praxis – Kundenorientierung, Innovation und Mut",Lehrstuhlnachrichten
Interesse an Digital Transformation Maturity Assessment und Studie hoch,Lehrstuhlnachrichten
6. St.Gallen Mobile Business Forum am 7. Nov. in Zürich,Lehrstuhlnachrichten
15 Einreichungen zum IWI-HSG Mobile Business Best Practice Award – Rekord,Lehrstuhlnachrichten
Vortrag über Reiseerfahrungen im Silicon Valley,Lehrstuhlnachrichten
Überraschungen beim digitalen Reifegrad – Vortrag von Andrea Back,Lehrstuhlnachrichten
Digital Transformation Awards 2017 verliehen,Lehrstuhlnachrichten
Digital Maturity & Transformation Report 2017,Lehrstuhlnachrichten
Auf der Suche einer neuen Location für das 6. Mobile Business Forum – Coworking Tour in Zürich,Lehrstuhlnachrichten
Einzug ins neue Gebäude,Lehrstuhlnachrichten
Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye,Leseempfehlung
Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona),Leseempfehlung
Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen,Leseempfehlung
Studie – Digital Transformation Index 2020 von Dell Technologies,Leseempfehlung
Konfrontiert mit einer Flut von Kooperationsanfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung,Leseempfehlung
Storytelling im eLearning Kontext – Tipps für die Praxis,Leseempfehlung
Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030,Leseempfehlung
Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?,Leseempfehlung
Big Data in der Lehre (be)greifbar machen,Leseempfehlung
Mehr (digitale) Privatsphäre durch besondere Kleidung?,Leseempfehlung
Leseempfehlung: Studie über den Einsatz interner sozialer Netzwerke in Unternehmen,Leseempfehlung
Drei Fragen für die Persönlichkeitsentwicklung in «Das Café am Rande der Welt» (Buchreview),Leseempfehlung
"Die Kunst des “Unlearnings”: Der Moment, in dem es “klick” macht",Leseempfehlung
Silicon Valley Satire – Mehr als eine Kurzgeschichte,Leseempfehlung
Meet-up-Spirit für effektive Meetings,Leseempfehlung
Triple Overload: Immer hochgradig beschäftigt,Leseempfehlung
Digital Natives – eine Legende,Leseempfehlung
Data-Literacy-Kompetenzen vermitteln,Leseempfehlung
Das Design Thinking Playbook,Leseempfehlung
Monitor Digitale Bildung: Die Weiterbildung im digitalen Zeitalter,Leseempfehlung
Studie: Informationskompetenz bei Studierenden der Wirtschaftswissenschaften,Leseempfehlung
MMB Learning Delphi: Erklärfilme als Umsatzbringer der Stunde,Leseempfehlung
Buch „Lean Startup“: Zuhören und Dienen als Geschäftsprinzip,Leseempfehlung
Buch Homo Deus – in was für einer Zukunft wollen wir leben?,Leseempfehlung
JIM-Studie 2017 zum Medienumgang von Jugendlichen,Leseempfehlung
Artificial Intelligence – Studierende wollen Anwendungen hands-on verstehen,Leseempfehlung
"Wenn Website-Redesign ansteht, dann geht SEO jeden an",Leseempfehlung
Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye,Linktipps
Global Learning Landscape 2021,Linktipps
Methoden zur effektiveren Gestaltung von E-Postern,Linktipps
Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona),Linktipps
Studie – Digital Transformation Index 2020 von Dell Technologies,Linktipps
360-Grad Bilder und VR-Brillen erklärt von der Maus,Linktipps
Learning Analytics – Das Lernen der Zukunft basiert auf Smart Data,Linktipps
Management Weiterbildung – Megatrends sprechen für Aufwind,Linktipps
Digital Storytelling – möglicher Einsatz im Bildungskontext,Linktipps
Kleines E-Learning Glossar,Linktipps
E-LEARNING SO GEFRAGT WIE NOCH NIE,Linktipps
4 Tipps für die Einbindung von Videos in die Lehre – eine Studie mit Ergebnissen von vor Covid19,Linktipps
ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober,Linktipps
Storytelling im eLearning Kontext – Tipps für die Praxis,Linktipps
Die Sprache der Videokonferenzen: die wichtigsten Handzeichen,Linktipps
Trendradar von fortiss zu aktuellen Softwarethemen,Linktipps
High-Resolution Prototyp für das Gesundheitswesen,Linktipps
Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist,Linktipps
Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,Linktipps
Sound of Colleagues – Geräusche aus dem Büro,Linktipps
Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030,Linktipps
Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?,Linktipps
Kostenloses E-Learning zu Präventionsmassnahmen des Coronavirus,Linktipps
Cellulo: mit einem Roboter Schreiben lernen,Linktipps
Big Data in der Lehre (be)greifbar machen,Linktipps
Mehr (digitale) Privatsphäre durch besondere Kleidung?,Linktipps
Das Büro der Zukunft: eine Visualisierung,Linktipps
Schulkinder vertrauen Alexa nicht,Linktipps
Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch,Linktipps
Jami – sicher chatten durch Blockchain,Linktipps
Frank Thelen und die Digitalisierung der Schule: einfach mal machen!,Linktipps
Wie fühlt es sich an von Robotern bekocht zu werden?,Linktipps
Unsere Linktipps im Februar,Linktipps
Global Learning Landscape 2021,Management Tools
Unsere Empfehlung: Online Brainstorming Tool „Miro“,Management Tools
Clockify – ein Zeiterfassungssystem für projektübergreifende Teams,Management Tools
«Microsoft Teams»: eine Vereinigung von bisher separaten Teamarbeitstools,Management Tools
“Business-Thinking”-Fokus im Master-Kurs,Mobile Business
Noch einen Monat: Reichen Sie bis zum 12.3 Ihre Smart IoT oder Mobile Business Solution ein und nehmen Sie am Forum Day 2021 teil,Mobile Business
Jetzt Einreichen oder Workshop-Partner werden,Mobile Business
Save the Date! Am 20. Mai 2021 findet der nächste Smart IoT & Mobile Business Forum Day statt.,Mobile Business
Ein Rückblick auf den Forum Day 2020: Smart IoT & Mobile Business,Mobile Business
High-Resolution Prototyp für das Gesundheitswesen,Mobile Business
Forum Day 2020 Updates,Mobile Business
Bekanntgabe der nominierten Lösungen des Forum Day 2020,Mobile Business
Die Jurierung der eingereichten Lösungen für den Forum Day 2020 ist abgeschlossen,Mobile Business
Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?,Mobile Business
Forum Day und Jurytag sind auf unbestimmte Zeit verschoben,Mobile Business
Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen,Mobile Business
Aufruf zu Einreichungen bis 3.3.2020 für die Smart IoT und Mobile Business Best Practice Awards,Mobile Business
Jami – sicher chatten durch Blockchain,Mobile Business
Save the Date! Am 14. Mai 2020 findet der nächste Smart IoT & Mobile Business Forum Day statt.,Mobile Business
Eddy: ein KI-Reiseassistent per Chat und Sprachnachricht,Mobile Business
Mit dem Selfie zur mobilen Bewerbung?,Mobile Business
Forum Day: Rückblick auf den «Smart IoT & Mobile Business Award»,Mobile Business
Living Packets: Die Revolution im E-Commerce,Mobile Business
Smart IoT & Mobile Business Awards 2019: Zeit zum Einreichen bis 15. April,Mobile Business
Elitebeds: Die vernetzte Matratze,Mobile Business
Spielerisch Lernen mit Quizzen von Kahoot!,Mobile Business
Entdecke das Potenzial des Internet of Things,Mobile Business
Drei App Stores für progressive Webapps,Mobile Business
Thunkable: App-Entwicklung für jedermann,Mobile Business
10% happier: Meditation für Skeptiker,Mobile Business
Mobile Learning mit Blinkist: Lesen im Schnelldurchlauf,Mobile Business
Das Bitcoin Handy: Wie ein Israerlisches Unternehmen den Einsatz von Bitcoins vereinfachen will,Mobile Business
QR-Codes bald im Höhenflug,Mobile Business
Progressive Web Apps: Das Web wird nativer,Mobile Business
3 essentielle Tipps für E-Book Newbies: Was sollten Sie beim Formatieren eines E-Books unbedingt beachten?,Mobile Business
Mehr Freiheit ohne Internet,Mobile Business
Unsere Agile Innovation Studie ist da!,Mobile Business
Librestream gewinnt den Mobile Business Best Practice Award,Mobile Business
Virtual-Reality-Erfahrungen werden mit Daten zu Extrememotionen angereichert,Mobile Business
Super Humans als Makrotrend 2030 – und was heisst das für Mitarbeitende?,Mobile Business
Unsere Mobile Business Studie 2017 – Mit agiler Innovation zu Next Generation Mobile Business,Mobile Business
App-Programmierung einfach gemacht,Mobile Business
Symbiose aus stationärem und Online-Handel mit Startup NearSt,Mobile Business
Kennen Sie noch den Indicaball? Jetzt als Kamera!,Mobile Business
Augmented Worker – Reparatur einer Wärmepumpe mit der Hololens,Mobile Business
Blockchain – mehr als nur Bitcoins?,Mobile Business
Fokusthema Chatbots – Beispiel Flüchtlingshilfe: Ein Anwalt für Flüchtige,Mobile Business
Fokusthema Chatbots – Beispiel Versicherungsbranche: Dein neuer kleiner Helfer oder Automatisierung für Services?,Mobile Business
Erfahrungsbericht Social Media an der #wi2017 an der Universität St. Gallen (HSG),Mobile Business
Mobile Apps im Gesundheitsbereich,Mobile Business
Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche,Praxisprojekt
High-Resolution Prototyp für das Gesundheitswesen,Praxisprojekt
Fortschrittsverfolgung der Digitalen Transformation im Unternehmen – ausgehend von Digitale Reife Assessments,Praxisprojekt
"45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»",Praxisprojekt
DayCatcher: Achtsamkeits-Training in der Digitalen Welt,Praxisprojekt
Insights aus unseren studentischen Projekten,Praxisprojekt
Forum Day: Rückblick auf den «Smart IoT & Mobile Business Award»,Praxisprojekt
Unsere Empfehlung: Online Brainstorming Tool „Miro“,Productivity Tools
Clockify – ein Zeiterfassungssystem für projektübergreifende Teams,Productivity Tools
Time-Tracking – Effizienteres Arbeiten mit Timeular’s Zei,Productivity Tools
Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?,Publikation
Unser Beitrag “The Startup Collaboration Model” im Buch Ecosystem Innovation von Kickstart,Publikation
Innovation durch den Einsatz von Enterprise IoT-Lösungen: Ein Modell zur Bestimmung des Innovationspotenzials,Publikation
“Business-Thinking”-Fokus im Master-Kurs,Smart-IoT
Noch einen Monat: Reichen Sie bis zum 12.3 Ihre Smart IoT oder Mobile Business Solution ein und nehmen Sie am Forum Day 2021 teil,Smart-IoT
Lach- und Sachgeschichten von der Maus: SmartHome,Smart-IoT
Jetzt Einreichen oder Workshop-Partner werden,Smart-IoT
Save the Date! Am 20. Mai 2021 findet der nächste Smart IoT & Mobile Business Forum Day statt.,Smart-IoT
Call for Papers: WuM Heft Themenschwerpunkt «Digitale Plattformen und Ökosysteme»,Smart-IoT
Ein Rückblick auf den Forum Day 2020: Smart IoT & Mobile Business,Smart-IoT
High-Resolution Prototyp für das Gesundheitswesen,Smart-IoT
Forum Day 2020 Updates,Smart-IoT
Bekanntgabe der nominierten Lösungen des Forum Day 2020,Smart-IoT
Die Jurierung der eingereichten Lösungen für den Forum Day 2020 ist abgeschlossen,Smart-IoT
Forum Day und Jurytag sind auf unbestimmte Zeit verschoben,Smart-IoT
Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen,Smart-IoT
Aufruf zu Einreichungen bis 3.3.2020 für die Smart IoT und Mobile Business Best Practice Awards,Smart-IoT
Innovation durch den Einsatz von Enterprise IoT-Lösungen: Ein Modell zur Bestimmung des Innovationspotenzials,Smart-IoT
Save the Date! Am 14. Mai 2020 findet der nächste Smart IoT & Mobile Business Forum Day statt.,Smart-IoT
Forum Day: Rückblick auf den «Smart IoT & Mobile Business Award»,Smart-IoT
Living Packets: Die Revolution im E-Commerce,Smart-IoT
Smart IoT & Mobile Business Awards 2019: Zeit zum Einreichen bis 15. April,Smart-IoT
E-LEARNING SO GEFRAGT WIE NOCH NIE,Sponsored Post
Studie zu E-Learning Trends – wie klappt das E-Learning bei Ihnen im Unternehmen?,Sponsored Post
Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,Sponsored Post
Kostenloses E-Learning zu Präventionsmassnahmen des Coronavirus,Sponsored Post
Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch,Sponsored Post
Konfrontiert mit einer Flut von Kooperationsanfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung,Sports Digitalization
Call for Papers: WuM Heft 5 Themenschwerpunkt “IT und Sport”,Sports Digitalization
Digitalisierung im Stadion – die Entwicklung einer mobilen Spieltags-App,Sports Digitalization
