hastag;Titel
Digital;Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche
Learning Innovations;Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche
Lehrstuhlnachrichten;Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche
Praxisprojekt;Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche
Lehrstuhlnachrichten;News vom Smartfeld
Digital;Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen
Lehrstuhlnachrichten;Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen
Mobile Business;Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen
Smart-IoT;Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen
Lehrstuhlnachrichten;Noch einen Monat: Reichen Sie bis zum 12.3 Ihre Smart IoT oder Mobile Business Solution ein und nehmen Sie am Forum Day 2021 teil
Mobile Business;Noch einen Monat: Reichen Sie bis zum 12.3 Ihre Smart IoT oder Mobile Business Solution ein und nehmen Sie am Forum Day 2021 teil
Smart-IoT;Noch einen Monat: Reichen Sie bis zum 12.3 Ihre Smart IoT oder Mobile Business Solution ein und nehmen Sie am Forum Day 2021 teil
Digital;Online-Veranstaltung am 22./23. Feb:  «Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung»
Future of Work;Online-Veranstaltung am 22./23. Feb: «Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung»
Learning Innovations;Online-Veranstaltung am 22./23. Feb: «Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung»
Future of Work;Open Desk: Modeerscheinung oder Produktivitätsmaschine?
Digital;Privacy International: Eine Organisation gegen den Datenkapitalismus
Lehrstuhlnachrichten;Produktmanager bei Google – Masterstudierende besuchen Z(G)oogler in Zürich
Mobile Business;Progressive Web Apps: Das Web wird nativer
Mobile Business;QR-Codes bald im Höhenflug
Learning Innovations;Raum für die Prinzipien des neuen Lernens (Buchbeitrag)
Lehrstuhlnachrichten;Raum für die Prinzipien des neuen Lernens (Buchbeitrag)
Learning Innovations;re:publica – Die besten Vorträge rund um E-Learning & Kollaboration
Digital;Regierung bewilligt ITBO-Projektauftrag zur Digital-Entrepreneurship-Werkstatt
Learning Innovations;Regierung bewilligt ITBO-Projektauftrag zur Digital-Entrepreneurship-Werkstatt
Lehrstuhlnachrichten;Regierung bewilligt ITBO-Projektauftrag zur Digital-Entrepreneurship-Werkstatt
Kolumne;REgnosen statt PROgnosen wenn die Zukunft ihre Richtung ändert
Digital;Replika: Mit einem Bot über Gefühle reden
Digital;Research Salon Online via ZOOM
Lehrstuhlnachrichten;Research Salon Online via ZOOM
Artificial Intelligence;Roboter löst Rubik’s Cube ohne menschliche Hilfe
Future of Work;Roboter Pepper als Unterrichtsassistent
Lehrstuhlnachrichten;Rückblick: Research Salon in Varenna
Digital;Safefood.ai – Mit künstlicher Intelligenz zu mehr Lebensmittelsicherheit
Digital;Save the Date! Am 14. Mai 2020 findet der nächste Smart IoT & Mobile Business Forum Day statt.
Lehrstuhlnachrichten;Save the Date! Am 14. Mai 2020 findet der nächste Smart IoT & Mobile Business Forum Day statt.
Mobile Business;Save the Date! Am 14. Mai 2020 findet der nächste Smart IoT & Mobile Business Forum Day statt.
Smart-IoT;Save the Date! Am 14. Mai 2020 findet der nächste Smart IoT & Mobile Business Forum Day statt.
Lehrstuhlnachrichten;Save the Date! Am 20. Mai 2021 findet der nächste Smart IoT & Mobile Business Forum Day statt.
Mobile Business;Save the Date! Am 20. Mai 2021 findet der nächste Smart IoT & Mobile Business Forum Day statt.
Smart-IoT;Save the Date! Am 20. Mai 2021 findet der nächste Smart IoT & Mobile Business Forum Day statt.
Learning Innovations;Schulkinder vertrauen Alexa nicht
Linktipps;Schulkinder vertrauen Alexa nicht
Leseempfehlung;Silicon Valley Satire – Mehr als eine Kurzgeschichte
Lehrstuhlnachrichten;Smart IoT & Mobile Business Awards 2019: Reichen Sie jetzt ein
Mobile Business;Smart IoT & Mobile Business Awards 2019: Zeit zum Einreichen bis 15. April
Smart-IoT;Smart IoT & Mobile Business Awards 2019: Zeit zum Einreichen bis 15. April
Digital;Smarte Zigaretten – wie Philip Morris das Internet of Things ad absurdum führt
Digital;Sound of Colleagues – Geräusche aus dem Büro
Linktipps;Sound of Colleagues – Geräusche aus dem Büro
Lehrstuhlnachrichten;Sounding Persons für die Themenfelder Mobile Business und (smart) Internet of Things gesucht
Mobile Business;Spielerisch Lernen mit Quizzen von Kahoot!
Digital;Storytelling im eLearning Kontext – Tipps für die Praxis
Future of Work;Storytelling im eLearning Kontext – Tipps für die Praxis
Learning Innovations;Storytelling im eLearning Kontext – Tipps für die Praxis
Leseempfehlung;Storytelling im eLearning Kontext – Tipps für die Praxis
Linktipps;Storytelling im eLearning Kontext – Tipps für die Praxis
Digital;Studie – Digital Transformation Index 2020 von Dell Technologies
Leseempfehlung;Studie – Digital Transformation Index 2020 von Dell Technologies
Linktipps;Studie – Digital Transformation Index 2020 von Dell Technologies
Digital;Studie zu E-Learning Trends – wie klappt das E-Learning bei Ihnen im Unternehmen?
Future of Work;Studie zu E-Learning Trends – wie klappt das E-Learning bei Ihnen im Unternehmen?
Learning Innovations;Studie zu E-Learning Trends – wie klappt das E-Learning bei Ihnen im Unternehmen?
Sponsored Post;Studie zu E-Learning Trends – wie klappt das E-Learning bei Ihnen im Unternehmen?
Leseempfehlung;Studie: Informationskompetenz bei Studierenden der Wirtschaftswissenschaften
Future of Work;Substitut oder Komplement? Wenn Roboter unsere Arbeitsplätze übernehmen
Mobile Business;Super Humans als Makrotrend 2030 – und was heisst das für Mitarbeitende?
Agile Innovation;Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»
Artificial Intelligence;Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»
Digital;Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»
Future of Work;Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»
Learning Innovations;Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»
Linktipps;Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»
Sponsored Post;Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»
Mobile Business;Symbiose aus stationärem und Online-Handel mit Startup NearSt
Learning Innovations;Teach to One: Das Lernmodell der Zukunft?
Kolumne;Technikzeitreise – wie waren wir vor 30-20-10 Jahren digital unterwegs?
Learning Innovations;Teil 1/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – der Spatenstich ist gemacht
Lehrstuhlnachrichten;Teil 1/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – der Spatenstich ist gemacht
Learning Innovations;Teil 2/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – die 4 P’s. Fokus “Projects”
Future of Work;Teil 3/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – die 4 P’s. Fokus “Play”
Learning Innovations;Teil 3/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – die 4 P’s. Fokus “Play”
Digital;Teil 4/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Was bedeutet “Agil” wirklich?
Future of Work;Teil 4/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Was bedeutet “Agil” wirklich?
Learning Innovations;Teil 4/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Was bedeutet “Agil” wirklich?
Agile Innovation;Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist
Future of Work;Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist
Learning Innovations;Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist
Linktipps;Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist
Mobile Business;Thunkable: App-Entwicklung für jedermann
Productivity Tools;Time-Tracking – Effizienteres Arbeiten mit Timeular’s Zei
Digital;Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen
Future of Work;Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen
Leseempfehlung;Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen
Learning Innovations;Top Learning Tools 2018
Artificial Intelligence;Trendradar von fortiss zu aktuellen Softwarethemen
Digital;Trendradar von fortiss zu aktuellen Softwarethemen
Linktipps;Trendradar von fortiss zu aktuellen Softwarethemen
Leseempfehlung;Triple Overload: Immer hochgradig beschäftigt
Digital;Überraschungen beim digitalen Reifegrad – Vortrag von Andrea Back
Lehrstuhlnachrichten;Überraschungen beim digitalen Reifegrad – Vortrag von Andrea Back
Digital;Und was bedeutet die Digitalisierung für unsere Branche?
Agile Innovation;Unser Beitrag “The Startup Collaboration Model” im Buch Ecosystem Innovation von Kickstart
Lehrstuhlnachrichten;Unser Beitrag “The Startup Collaboration Model” im Buch Ecosystem Innovation von Kickstart
Publikation;Unser Beitrag “The Startup Collaboration Model” im Buch Ecosystem Innovation von Kickstart
Mobile Business;Unsere Agile Innovation Studie ist da!
Agile Innovation;Unsere Empfehlung: Online Brainstorming Tool „Miro“
Digital;Unsere Empfehlung: Online Brainstorming Tool „Miro“
Future of Work;Unsere Empfehlung: Online Brainstorming Tool „Miro“
Learning Innovations;Unsere Empfehlung: Online Brainstorming Tool „Miro“
Management Tools;Unsere Empfehlung: Online Brainstorming Tool „Miro“
Productivity Tools;Unsere Empfehlung: Online Brainstorming Tool „Miro“
Allgemein;Unsere Linktipps im Februar
Linktipps;Unsere Linktipps im Februar
Mobile Business;Unsere Mobile Business Studie 2017 – Mit agiler Innovation zu Next Generation Mobile Business
Lehrstuhlnachrichten;Unterrichtsmodul zur Künstlichen Intelligenz – von Studierenden, für Studierende
Digital;Verhältnis Digitalisierung in Deutschland vs. USA – wo sind die Unterschiede?
Future of Work;Vier Zukunftsbilder für die Arbeitswelt 2030
Lehrstuhlnachrichten;Virtual World Tour: Behind the Scenes
Mobile Business;Virtual-Reality-Erfahrungen werden mit Daten zu Extrememotionen angereichert
Agile Innovation;Vision Videos – ein Medium für eine geteilte Projektvision in studentischen Teams oder im Unternehmen
Digital;Vision Videos – ein Medium für eine geteilte Projektvision in studentischen Teams oder im Unternehmen
Learning Innovations;Visuelle Lernerfahrungen erstellen mit Thinglink
Lehrstuhlnachrichten;Vortrag über Reiseerfahrungen im Silicon Valley
Digital;Was lesen Digital Manager? Fachzeitschriften vs. Soziale Medien
Kolumne;Was wäre was Wildes?
Digital;Webbrowser – Was gibt es neben Google Chrome und Safari sonst noch?
Digital;Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?
Future of Work;Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?
Learning Innovations;Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?
Leseempfehlung;Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?
Linktipps;Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?
Mobile Business;Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?
Leseempfehlung;Wenn Website-Redesign ansteht, dann geht SEO jeden an
Digital;Wer die Leitungsfunktion für digitale Transformation inne hat
Kolumne;Wer ist eigentlich der Wettkönig zu 3D-Welten?
Learning Innovations;Wie Augmented Reality das Lernen revolutionieren wird
Digital;Wie Digital Corporate Publishing heute funktioniert
Digital;Wie fühlt es sich an von Robotern bekocht zu werden?
Linktipps;Wie fühlt es sich an von Robotern bekocht zu werden?
Learning Innovations;Wie kann die Abbrecherquote von MOOCs reduziert werden?
Digital;Wie Videoüberwachung einen neuen Make-up-Stil hervorbringt
Future of Work;Wird an Mitarbeitenden vorbei entschieden?
Learning Innovations;World Climate – Ein Spiel für den Klimaschutz (und Vorbild für modernes Lernen)
Future of Work;Wozu noch arbeiten? Vor uns liegt eine Kostenlos-Zukunft
Kolumne;Zeitkapselwunsch 2050: Der nächste Hochschulbau wird ein Ufo
Digital;ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober
Future of Work;ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober
Learning Innovations;ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober
Linktipps;ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober
Digital;Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030
Future of Work;Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030
Leseempfehlung;Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030
Linktipps;Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030
Digital;Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona)
Future of Work;Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona)
Leseempfehlung;Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona)
Linktipps;Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona)
Agile Innovation;Zwanzig Aspekte von Innovationskultur, um digitale Lösungen zu entwickeln – Wie steht es bei Ihnen?
Digital;Zwanzig Aspekte von Innovationskultur, um digitale Lösungen zu entwickeln – Wie steht es bei Ihnen?
Lehrstuhlnachrichten;Zwanzig Aspekte von Innovationskultur, um digitale Lösungen zu entwickeln – Wie steht es bei Ihnen?
