Kategorie,Titel,Inhalt
Digital,Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona),"Nach monatelanger Arbeit von zu Hause aus sind einige Unternehmen gespannt darauf, ins Büro zurückzukehren - und viele Remote-Mitarbeiter können es kaum erwarten, wieder aus dem Haus zu kommen. Aber da die Fallzahlen immer weiter ansteigen, beschäftigen sich die Arbeitgeber immer mehr mit der präventiven und alternativen Planung. Wann wird es sicher sein, wieder zur Arbeit zu gehen, und wenn es soweit ist, wie sollen die Büros aussehen? Wie sollten sie funktionieren, vor allem, wenn Millionen von Menschen planen, weiterhin aus der Ferne zu arbeiten? Die Designfragen werden immer zahlreicher. Da ist zunächst einmal die Sicherheit. Wie viele Personen sind in einem Aufzug? Wie sieht es mit der Kontaktverfolgung aus? Auch Fairness ist ein Thema: Können Arbeitsbereiche digitale Mitarb..."
Digital,Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen,"Eine Präsentation vor der Kamera zu halten ist etwas ganz anderes als im Raum vor einem physisch anwesenden Publikum zu präsentieren. Nach zehn Monaten in unserer Welt des Home-Office haben Sie wahrscheinlich gemerkt, dass es eine Herausforderung für Ihre Aufmerksamkeitsspanne ist, wenn Sie die Präsentation eines anderen Mitarbeiters per Videoanruf verfolgen. Richard Taylor (BBC-Korrespondent) hat zusammen mit Paul Boutin im Oktober einen sehr wertvollen Artikel verfasst, in dem die wichtigsten Grundlagen für einen erfolgreichen Videovortrag zusammengefasst sind. Wir geben in diesem Beitrag einen kurzen Einblick in die erwähnten Punkte, empfehlen Ihnen aber wärmsten den Originalbeitrag in seiner vollen Länge HIER zu lesen. Unser favorisierter Tipp: Dial up one Energy Level! ""Ein ..."
Digital,Lach- und Sachgeschichten von der Maus: SmartHome,"Obwohl wir auf unserem Blog sehr viele Beiträge zu Future of Work und Learning Innovations veröffentlichen, beschäftigt sich unser Lehrstuhl unter der Leitung von Christian Marheine auch verstärkt mit den Themen Internet of Things (IoT) und Plattform Ökosysteme. In Bezug auf IoT haben wir ein informatives Erklärvideo zu einem Smart Home in Deutschland gefunden. Die Lach- und Sachgeschichten von der Maus sind sowohl für Kinder als auch für Erwachsene eine spannende Abwechslung. Viel Spass beim Reinschauen (7 Minuten): Bildquelle: https://www.wdrmaus.de/extras/mausthemen/digitalisierung/index.php5..."
Digital,Digital Storytelling am Zukunftstag,"In unserem praxisorientierten Masterkurs ""Digitale Innovationen und Business Transformation gestalten"" entwickelten Studierende von September bis Dezember ein innovatives Workshop-Konzept. Dieses Workshop-Konzept kann im Rahmen des Zukunftstags von Unternehmen umgesetzt werden, um die anwesenden Kinder in das Digital Storytelling einzuführen und sie gleichzeitig zur Reflektion über die gewonnenen Berufseinblicke zu bewegen. Dieser Projektauftrag wurde in Kooperation mit Smartfeld, einer interdisziplinären Initiative des Innovationsnetzwerks Startfeld, der Empa, der GBS St. Gallen, der Ostschweizer Fachhochschule, der Pädagogischen Hochschule St.Gallen und der Universität St.Gallen bearbeitet. Mit dem Ziel, Kreativität und Zukunftskompetenzen zu fördern sowie Kinder und Jugendlic..."
Digital,Studie – Digital Transformation Index 2020 von Dell Technologies,"Der neue Report zur Digitalen Transformation von Dell Technologies ist im Sommer 2020 erschienen. Dieser umfasst eine Studie mit über 4300 Führungskräften aus der ganzen Welt, um die Transformationsbemühungen ihrer Unternehmen zu analysieren. Insgesamt deckt der Report 18 verschiedene Länder und 12 Industrien ab. Der Dell Technologies Digital Transformation Index (DT-Index) ist eine globale Benchmark, die den Stand der digitalen Transformation der Unternehmen weltweit darlegt und aufzeigt, wie sich die Unternehmen der unterschiedlichsten Industrien diesem digitalen Zeitalter anpassen. Diese Ausgabe ist nun schon die dritte des DT-Index und umfasst zusätzlich eine Analyse bzw. Momentaufnahme der letzten Monate und zeigt wie die Unternehmen mit der Covid19-Pandemie in Bezug auf die Dig..."
Future of Work,Global Learning Landscape 2021,"In einem Blog-Beitrag von Holon IQ (2021) haben wir von einer sehr anschaulichen und innovativen Taxonomy der Zukunfts des Lernens erfahren. Auf Basis von 10 Kategorien (z.B. Knowledge & Content, Education Management, Learning Support) wurde ein Periodensystem-ähnliches Model erstellt, welches sämtliche digitale Hilfsmittel und Ressourcen für die Zukunft des Lernens zusammenfasst. Drückt man beispielsweise auf das Kästchen “Teacher” (TR, Kategorie “Learning Support”), gelangt man zu einer Auflistung diverser ditaler Hilfsmittel für Lehrer/innen und Lehrende oder in der jetzigen Situation: für Eltern im Lock-Down fürs Home-Schooling. Die Seite bietet einfach zu findende, kuratierte und kontextualisierte Inhalte für den Unterricht - und spart so Hunderte von Stunden für..."
Future of Work,Online-Veranstaltung am 22./23. Feb:  «Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung»,"Gerne möchten wir Sie auf eine spannende Online-Veranstaltung am 22. und 23. Februar 2021 hinweisen: Das Transfernetzwerk vierpunkteins richtet seine zweite Lernstatt mit dem Titel “Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung” aus. Innerhalb von zwei Tagen werden interessante Keynotes und Workshops stattfinden, die sich mit den aktuellen Themen der digitalen Aus- und Weiterbildung beschäftigen. Und das beste? Die Veranstaltung ist komplett kostenlos. HIER können Sie sich direkt anmelden. Prof. Dr. Andrea Back wird auch an der Veranstaltung teilnehmen und ist besonders an folgenden zwei Programmpunkten interessiert: Keynote von Wolfgang Reichelt (Dekra Media): „Handlungsorientierte Aus- und Weiterbildung mit neuen Medien – Status Quo und Zuk..."
Future of Work,Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona),"Nach monatelanger Arbeit von zu Hause aus sind einige Unternehmen gespannt darauf, ins Büro zurückzukehren - und viele Remote-Mitarbeiter können es kaum erwarten, wieder aus dem Haus zu kommen. Aber da die Fallzahlen immer weiter ansteigen, beschäftigen sich die Arbeitgeber immer mehr mit der präventiven und alternativen Planung. Wann wird es sicher sein, wieder zur Arbeit zu gehen, und wenn es soweit ist, wie sollen die Büros aussehen? Wie sollten sie funktionieren, vor allem, wenn Millionen von Menschen planen, weiterhin aus der Ferne zu arbeiten? Die Designfragen werden immer zahlreicher. Da ist zunächst einmal die Sicherheit. Wie viele Personen sind in einem Aufzug? Wie sieht es mit der Kontaktverfolgung aus? Auch Fairness ist ein Thema: Können Arbeitsbereiche digitale Mitarb..."
Future of Work,Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen,"Eine Präsentation vor der Kamera zu halten ist etwas ganz anderes als im Raum vor einem physisch anwesenden Publikum zu präsentieren. Nach zehn Monaten in unserer Welt des Home-Office haben Sie wahrscheinlich gemerkt, dass es eine Herausforderung für Ihre Aufmerksamkeitsspanne ist, wenn Sie die Präsentation eines anderen Mitarbeiters per Videoanruf verfolgen. Richard Taylor (BBC-Korrespondent) hat zusammen mit Paul Boutin im Oktober einen sehr wertvollen Artikel verfasst, in dem die wichtigsten Grundlagen für einen erfolgreichen Videovortrag zusammengefasst sind. Wir geben in diesem Beitrag einen kurzen Einblick in die erwähnten Punkte, empfehlen Ihnen aber wärmsten den Originalbeitrag in seiner vollen Länge HIER zu lesen. Unser favorisierter Tipp: Dial up one Energy Level! ""Ein ..."
Future of Work,Management Weiterbildung – Megatrends sprechen für Aufwind,"Viele Unternehmen unterstützen Ihre Mitarbeitenden bei berufsbegleitenden Masterprogrammen und anderen Weiterqualifizierungen. In Krisen wird aber bekanntlich bei der Weiterbildung gespart. Die aktuelle Corona-Krise lässt einen ein- bis dreijährigen Einbruch im Management-Weiterbildungsmarkt erwarten. Doch in den USA gab es schon zuvor rückläufige Zahlen bei Teilnehmenden von MBA-Programmen (Quelle: Forbes, Feb. 17, 2019)  Ist das ein genereller und anhaltender Trend weltweit, der durch Wirtschaftskrisen nur noch verschärft wird? Drei Megatrends sprechen dagegen.  Gute Aussichten also für die Zukunft und ein Beleg, dass Weiterbildung sich als robuster Markt erweist und ein wachsendes Betätigungsfeld sein wird. Robust heisst aber nicht «wie gehabt», sondern längst ist..."
Future of Work,Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?,"Im Rahmen ihrer Masterarbeit, hat Julia Lötscher ein Assessment zur Evaluation der Erfolgsfaktoren für digitale Solutions entwickelt. Die Ergebnisse ihrer Arbeit sind im Mai 2020 in einem «Wirtschaftsinformatik & Management» (WuM) Artikel veröffentlicht worden. «Digitale Solutions wie beispielsweise mobile Applikationen zeichnen sich durch einen modularen Aufbau aus und kommen in umfangreichen Business-Ökosystemen zur Anwendung. Zudem erfolgt die Entwicklung digitaler Solutions in iterativen Prozessen, wofür insbesondere agile Entwicklungsmethoden eingesetzt werden. Aufgrund dieser Spezifika unterscheidet sich die Ausgestaltung einer Innovationskultur, die den Erfolg digitaler Solutions fördert, vom bisher allgemeinen Verständnis von Innovationskultur. Der Artikel prä..."
Future of Work,Kleines E-Learning Glossar,"Mit dem Start ins neue Schuljahr und Unisemester scheinen die Artikel und Studien zum E-Learning nur so aus dem Boden zu spriessen.  Der Umgang mit digitalen Medien im Bildungskontext hat sich durch die neuartige Situation um einiges verändert. Auch wir an der Universität haben uns neue Formen des E-Learnings angeeignet, um den Studierenden das bestmögliche Lernerlebnis, trotz Lock-Down und Quarantäne bieten zu können. Viele der herausgebrachten Erfahrungsberichte, Studien und Interviews beinhalten unterschiedlichste Fachwörter in Bezug auf E-Learning. Damit auch wir die richtigen Begriffe im richtigen Kontext verwenden, haben wir folgendes Glossar als hilfreich empfunden und empfehlen es gerne weiter. Das Glossar beinhaltet Begriffe wie adaptives Lernen, blended learning und Kh..."
Future of Work,E-LEARNING SO GEFRAGT WIE NOCH NIE,"Sponsored Post. Seitdem Unternehmen vermehrt auf Homeoffice zurückgreifen, hat die Digitalisierung massiv an Fahrt aufgenommen. Während E-Learning früher noch hauptsächlich in den Grosskonzernen dieser Welt als Luxusgut eingesetzt wurde, wird es mittlerweile und gerade durch die Corona-Krise in der Mehrzahl aller Unternehmen – egal welcher Grösse oder Branche – eingesetzt. Tendenz steigend. Aufgrund von Corona hat E-Learning einen riesigen Aufschwung erlebt. Von heute auf morgen waren die Unternehmen gezwungen umzudenken und den Grossteil ihres geschäftlichen Alltags digital abzubilden. Viele sind immer noch überrascht, welche Vorteile sich dadurch plötzlich bieten. «In den letzten Monaten ist ganz deutlich geworden, wie unverzichtbar und wertvoll digitale Lösungen für die..."
Future of Work,ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober,"Vom 12. – 16. Oktober 2020 findet die ZP Europe (Zukunft Personal Europe) zum ersten Mal digital statt. Die ZP Europe ist das führende ExpoEvent rund um die Welt der Arbeit und präsentiert an fünf virtuellen Messetagen innovative Produktlösungen und Vorträge. Am Thementag „Learning und Training“ (14. Oktober) werden live Online-Workshops mit Learning-Experten wie Jochen Robes (Robes Consulting, Hochschullehrer), Roman Rackwitz (Gamification Designer bei Engaginglab) und Gudrun Porath (Journalistin und Autorin) abgehalten und aktuelle Fragestellungen der Weiterbildung diskutiert. Unter anderem wird angeschnitten, welche neuen Bildungs- und Lernstrategien durch die Corona-Krise in den Vordergrund getreten sind, und wie man kurze und leicht verdauliche Lerneinheiten (Learning Nugg..."
Future of Work,Storytelling im eLearning Kontext – Tipps für die Praxis,"Storytelling gehört sowohl im Unternehmenskontext als auch an der Universität zu einer beliebten Methode, um komplexe Themen auf das Wesentliche zu reduzieren und mehr Begeisterung bei den Lesern, Lernenden oder dem Kunden zu erzeugen. Die Einsatzmöglichkeiten sind sehr divers und so kann Storytelling schon in einer einfachen Mail, bei einem Pitch vor Investoren oder im eLearning Kontext für mehr Aufmerksamkeit sorgen. Mit den richtigen Werkzeugen lassen sich so emotionalisierte Inhalte vermitteln. Die Firma YouKnow hat einen Leitfaden zusammengestellt, und erklärt hierbei wie Storytelling im Unternehmenskontext (z.B. für eLearning Plattformen) angewendet werden kann und zeigt welche Methoden zur Vorbereitung einer guten Story dienen.  Tipp 1: Dem Fluch des Wissens entkommen: Sich s..."
Future of Work,“Turbo-Digitizing at the Expense of Security?” Webinar mit Mario Silic und Shira Kaplan,"Dr. Mario Silic schloss in 2015 seine Promotion bei uns am Lehrstuhl ab und forscht nun als Post-Doc in den Gebieten Information Security, Human Computer Interaction und Open Source Software. Zudem ist er Lehrbeauftragter an der Universität St. Gallen. Im Juni 2020 hat Mario zusammen mit Shira Kaplan, Harvard Absolventin und Gründerin einer Schweizer Cybersecurity Firma (Cyverse) ein interessantes Webinar zu Cybersecurity in Zeiten der Corona-Krise gegeben. Was in Bezug auf die Digitalisierung und Coworking vor einem Jahr noch als undenkbar erschien, wurde durch die Corona-Krise bedingt möglich gemacht. Damit hat die Pandemie ein neues Zeitalter der digitalen Zusammenarbeit eröffnet. Welchen Einfluss diese Entwicklung auf die Cybersicherheit hat und welche Risiken damit einher geh..."
Future of Work,Die Sprache der Videokonferenzen: die wichtigsten Handzeichen,"Der YouTube-Kanal stefan m. seydel hat zu gegebenem Anlass ein Video zu den nützlichsten Handzeichen in Videokonferenzen veröffentlicht. Wir finden das Video sehr hilfreich, um Videocalls effizienter zu gestalten. Wir haben alle Handzeichen in Bildern zusammengefasst. Das amüsante Video kann nach der Aufzählung angeschaut werden: [embed]https://www.youtube.com/watch?v=W3FWJYMpTQM&feature=youtu.be[/embed] Bildquellen: Bild 1,2,3: Word Bild 4: https://www.flaticon.com Bild 5: https://creazilla.com/de/nodes/53774-frau-mit-ueberkreuzten-armen-clipart Bild 6: https://emojiterra.com/de/zwei-erhobene-handflachen/ Titelbild: https://unsplash.com/photos/HJmxky8Fvmo ..."
Kolumne,Das Web hat ein Messie-Syndrom,"Beim Menschen spricht man von Messie-Syndrom, wenn jemand übermässig Gegenstände hortet. Trifft diese Definition nicht genauso auf das Web zu? Da sammelt sich übermässig viel mehr oder weniger wertloser Content an. Bei Menschen-Messies liegt es an der Unfähigkeit, sich von etwas wieder zu trennen und Ordnung zu halten. Beim Web sind die beiden Features «Content entsorgen» und «Ordnung halten» gar nicht vorgesehen - es scheint ja ganz gut ohne sie auszukommen. Genau das will ich aber, gestützt auf nachfolgenden Erfahrungsbericht, in Frage stellen. Für zwei eigentlich einfache Aufgaben suche ich Antworten im Netz. Denn auch mich hat das Fieber gepackt, mehr Videos in meiner Lehre zu verwenden - und dafür muss ich dazulernen. In Powerpoint (PPT) eingefügt sollen online Youtube ..."
Kolumne,Bereits 1925 erfunden – Multifunktionsmaske fürs Büro,"Schauen Sie sich das folgende Bild an. Der sogenannte «Isolator» ist eine Erfindung von Hugo Gernsback, die es 1925 auf die Titelseite des Tech-Magazins Science and Innovation geschafft hat. Was kommt einem dazu in den Sinn - heute fast 100 Jahre später, wo wir uns daran gewöhnt haben, mit Gesichtsverhüllungen am Schreibtisch zu sitzen? Der Helm im Bild ist aber nicht gegen Viren und als Schutz für die Lungen gedacht. Er soll Auge und Ohr vor Störungen und Ablenkungen schützen. Es geht um volle Konzentration und Fokus auf die Arbeitsaufgabe, deshalb gibt es nur kleine Sehschlitze, wie Scheuklappen. Richtig spannend ist die Flasche mit dem Sauerstoff – hat doch der «Isolator» im ockerfarbenen Bild auch Luftschlitze um die Mundpartie. Oxygen diente wohl zur weiteren Leistungss..."
Kolumne,Was wäre was Wildes?,"Stellen Sie sich vor, Sie hätten die Möglichkeit für ein halbes Jahr Sabbatical. Allerdings mit der Pflicht an einem berufsbezogenen Projekt zu arbeiten, dabei aber im Hinblick auf Ort und Zeit ganz flexibel zu sein. Wie fühlt sich das an? Nach der ersten Glücksseligkeit meldet sich immer vernehmlicher die innere Stimme - ebenso wie Leute, denen Sie davon erzählen: Und was wirst du machen? Was genau hast du vor? Wer hat da schon wie aus der Pistole geschossen «Die eine Idee»! Dies ist kein Gedankenspiel zur Flucht in Traumwelten angesichts der aktuellen Corona-Restriktionen. Es ist eine reale Situation in eigener Sache: Der Antrag für ein Forschungssemester steht an und es wird der letzte «Research Leave» in meiner Laufbahn als Professorin sein. Nicht dass ich falsch verstande..."
Kolumne,Digitaler Maulkorb – mein Retusche-Favorit,"Die digitale Abbildung der «Wirklichkeit» wird mit Filtern und ähnlichen digitalen Tools aufgehübscht - oder auch verfälscht. So sehr sind wir schon daran gewöhnt, dass der Ausdruck «gephotoshopped» sich bereits im Sprachgebrauch festgesetzt hat. Die Möglichkeiten des digitalen Retuschierens sind jedoch viel bunter als man gemeinhin denkt. Neben denen für Fotos gibt es auch Bearbeitungen von Videoaufzeichnungen. Während das magische Verschwinden von Ähms und Umhhs zu begrüssen ist, mag man das Ausbügeln von aussagekräftigen Stellen für fragwürdig halten. Zum Nachdenken darüber regte jedenfalls die Diskussion im Netz an, ob da ein Corona-Husten unter den Teppich gekehrt worden war:  Spekulationen machten die Runde, ob die Videobotschaft von US-Präsident Trump aus dem Kr..."
Kolumne,Dozenten-Ichs und Klebeband für Lehre-Videos,"Welches Dozenten-Ich haben meine Studierenden in der Online-Lehre während des COVID-19 Lockdown kennen gelernt? Ob in Zoom oder einem anderen Online-Meeting-System: Einen «Talking Head» inmitten eines Mosaiks von weiteren Köpfen. Mit der Zeit hat man davon genug gesehen. Alternativen gibt es durchaus. Wer in die Unterrichtsräume geht, die inzwischen mit Raumkameras ausgestattet sind, kann sich in Weitwinkelperspektive im Ganzkörperbild zeigen. Noch mehr Bewegungsfreiheit hat man, wenn man selbst Videos mit sich als Protagonist dreht. Damit stellen sich natürlich Gestaltungsfragen zum Dozenten-Ich-Auftritt, die darüber hinaus reichen, welches Hintergrundbild man wählt oder ob man die Leute in die persönliche Wohn- oder Arbeitsumgebung gucken lässt. Was von sich als Dozent soll ma..."
Kolumne,REgnosen statt PROgnosen wenn die Zukunft ihre Richtung ändert,"Prognosen sind schwierig, besonders wenn sie die Zukunft betreffen. Dieses Bonmot, das u.a. Karl Valentin und Winston Churchill zugeschrieben wird, hat uns wegen der Pandemie und der Lockdown-Entscheidungen im März besonders Bange gemacht. Die Strategielehre hat aber auch für solche Knacknüsse der Ungewissheit ein Managementinstrument bereit. Es nennt sich RE-gnose (Rückwärtsprognose) oder Backcasting und geht auf den Zukunftsforscher Matthias Horx zurück. Im Gegensatz zur Prognose schaut man nicht in die Zukunft, sondern von der Zukunft aus zurück ins Heute. In seinem Artikel von Mitte März schreibt Horx, dass wir gerade eine historische Zeit erleben, in der die Zukunft ihre Richtung ändert: Ich hörte erstmals vom Backcasting im Webinar «Strategiearbeit in Zeiten sehr hoher U..."
Kolumne,Zeitkapselwunsch 2050: Der nächste Hochschulbau wird ein Ufo,"Das Learning Center hat ein Geschwister bekommen. Der jüngste Neubau gibt dem Selbstverständnis der UniSG als Hochschule für Zukunftsgestaltung Ausdruck. Die Mission «Zukunftsgestaltung» war schon Bestandteil der HSG-Vision, die Mitte der 2020er Jahre wie folgt neu formuliert wurde: «Interdisziplinarität von Wissenschaft, Ingenieurwesen, Kunst und Design mit Impact in Wirtschaft und Gesellschaft». Diese Vision beruht auf Oxman’s Krebs Cycle of Creativity: «Science converts information into knowledge; Engineering converts knowledge into utility; Design converts utility into cultural behavior and context; and Art takes that context and questions our perception of the world» (*Quelle siehe unten). Die Urheberin dieses Cycle of Creativity, die Architektin Neri Oxman, und Professor..."
Kolumne,Das Mandala-Osterei Experiment,"Ein Roboter der in aller Seelenruhe ein Sand-Mandala erstellt? Dafür brauchen Tibet-Buddhistische Mönche tagelang. Sehen Sie sich das Foto an, wie detailreich diese Sandbilder sind, und wenn Sie mehr Zeit haben dieses Zeitraffer-Video: Creation of a Sand Mandala.  Screenshot aus dem Video: Scribit & the MIT Dalai Lama Centre for Ethics unveil world first Robotic Mandala. Einen solchen Roboter habe ich mir jedenfalls vorgestellt, als ich diese Überschrift im MIT Technology Review  las: Ein solches Mandala aus farbigem Sand zu modellieren, ist eine Meditationshilfe. Klar macht ein Roboter die Sache schneller und einfacher. Aber das ist doch sicher nicht im Sinn dieses Rituals? Damit wird es doch ad absurdum geführt! Bei der Lektüre des gesam..."
Kolumne,Corona-Quarantäne als Zeitgeschenk der Möglichkeiten,"Eigentlich ist es zum Heulen, und zuweilen kriecht auch Angst unter die Haut. Was macht man gegen solche Corona-Gefühle? Humor tut als Auflockerung immer gut. Herzlich lachen musste ich z.B. über diese komödiantische Inszenierung des Händewaschens: https://twitter.com/BBCHoseinSharif/status/1233368399578849280. Vor Lost-in-Hyperspace der Spassvideos schrecke ich aber zurück. Lieber verliere ich mich in eigene Fantasien über eine traumhafte Welt. Und so habe ich mir ausgemalt, wie meine häusliche Quarantäne - dieses Zeitgeschenk an Möglichkeiten - aussehen könnte, um auch entsprechend vorzusorgen. Wenn rundum Verzicht angesagt ist, dann sicher nicht daheim! Während Vorratseinkäufer den Umsatz von Tütensuppen in die Höhe treiben - laut GfK anfangs März eine 112% Steigerung g..."
Kolumne,Digitalisierung auf Deutsch und in Wortschönheiten,"Bestimmt ist Ihnen schon aufgefallen, dass sich immer mehr Englische Begriffe in unser Reden und Schreiben über die Digitalisierung einschleichen. Zum Beispiel Digital Transformation, Crowdfunding oder Information Overload. Das war natürlich schon vor Jahrzehnten der Fall. Durch meinen Professor und späteren Doktorvater wurde ich früh dafür sensibilisiert, dies nicht schön zu finden und dagegen zu halten. Mit seinem Rotstift kreidete er solches «Denglisch» als stilistischen Sprachfehler an. Ich fand das NICHT spiessig, denn die deutsche Sprache ist doch faszinierend. Denken Sie nur an Wortschönheiten wie Bandsalat, das wie die aussterbenden Musikkassetten zwar bald vergessen sein wird, oder auch an verbale Monster wie Rindfleischetikettierungsüberwachungsaufgabenübertragungsges..."
Kolumne,Devices und Apps für Helikoptereltern – mit Fragezeichen,"Wie sind Sie als Baby aufgewachsen - mit oder ohne Monitoring-Devices? Mein Kind ohne, obwohl Babyfons damals schon Standard waren. Ich war mir sicher, ein gutes Gespür für seinen Schlafrhythmus und Befinden zu haben, und hielt das für unnötig. Heutzutage, mit Video und Smartphone-App, würde ich wohl doch eine Kamera im Kinderzimmer installieren. Aber interessanter ist die Entscheidung, wann man die wieder abbaut: Wann eigentlich? Es scheint schwierig, sich als Eltern vom Überwachungsmodus wieder zu lösen. Es soll Kindergärten mit Webcam geben, so dass man jederzeit gucken kann, was das eigene Kind gerade so macht. Gewisse Krippen bieten an, Benachrichtigungen aufs Handy zu schicken: Ihr Kind schläft jetzt; ihr Kind hat gerade gegessen; ihr Kind war gross auf der Toilette, etc. ..."
Kolumne,Technikzeitreise – wie waren wir vor 30-20-10 Jahren digital unterwegs?,"Letzte Woche haben uns die Medien auf eine Zeitreise 30 Jahre zurück mitgenommen, um an das denkwürdige Ereignis des Mauerfalls in Berlin zu erinnern. Auch das CERN, an dem das WWW seinen Anfang nahm, feierte dieses Jahr dessen 30. Geburtstag. Gerade Rückschauen auf die Entwicklung digitaler Technologien machen einem bewusst, wie schwer man sich erinnert wie es früher war und wie sehr man sein Leben und Arbeiten dadurch verändert hat. Als Gedankenstütze  kam der wöchentliche TheScope-Newsletter von Dr. Peter Hogenkamp gerade recht, in dem sich Mitte Oktober dieses kuratierte Fundstück aus der Feder von Tagesanzeiger-Journalisten fand: Mit welchen Technologien sind Sie aufgewachsen? Das war mir die 2 CHF wert, die der 24h Tagespass für den Zugang zum Content kostet. Wie wir tel..."
Learning Innovations,Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche,"Nach der am WEF 2020 vorgestellten OECD Studie «Dream Jobs» sehen Jugendliche ihre Zukunft überwiegend in traditionellen Berufen. Hinsichtlich zukunftsträchtiger und von der Digitalisierung geprägten Berufe müssen Berufsbilder also bekannter werden, um auch die Berufswünsche vermehrt zukunftsorientiert auszurichten. Aus diesem Grund erarbeiten wir in Zusammenarbeit mit Smartfeld, dem Bildungslab des Innovationsnetzwerkes Startfeld, ein Workshop-Konzept für Schülerinnen und Schüler (SuS), um den emotionalen Zugang zu unbekannten, digitalen Berufen im MINT-Bereich zu ermöglichen. In diesem Lernerlebnis werden SuS deshalb - in einem möglichst authentischen Berufsumfeld - solche Personen mit ihren Projekten und Tätigkeiten in kurzen Videodokumentationen porträtieren. Diese Video..."
Learning Innovations,Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye,"Mit dem untenstehenden Lernvideo ist Maryam Tseggaye für uns alle zu einem Vorbild geworden. In ihrem kurzen Video zeigt sie, was für ein mächtiges Lehrmedium das Video sein kann, wenn es richtig eingesetzt wird. Obwohl es für Schüler “nur” online zu sehen ist, zeigt sie viele der pädagogischen Möglichkeiten von Videos - vielfältig, sehr gut greifbar und sehr unterhaltsam. Der Blog “Media & Learning” hat 12 Gründe veröffentlicht, warum wir uns alle ein Beispiel an diesem Video nehmen können: https://media-and-learning.eu/type/featured-articles/why-maryam-tsegayes-prizewinning-video-is-so-important-for-online-learning/ . Viel Spass beim Schauen des Videos – wir sind schon jetzt inspiriert das nächste Semester noch wertvoller für die Studierenden und uns zu gest..."
Learning Innovations,Global Learning Landscape 2021,"In einem Blog-Beitrag von Holon IQ (2021) haben wir von einer sehr anschaulichen und innovativen Taxonomy der Zukunfts des Lernens erfahren. Auf Basis von 10 Kategorien (z.B. Knowledge & Content, Education Management, Learning Support) wurde ein Periodensystem-ähnliches Model erstellt, welches sämtliche digitale Hilfsmittel und Ressourcen für die Zukunft des Lernens zusammenfasst. Drückt man beispielsweise auf das Kästchen “Teacher” (TR, Kategorie “Learning Support”), gelangt man zu einer Auflistung diverser ditaler Hilfsmittel für Lehrer/innen und Lehrende oder in der jetzigen Situation: für Eltern im Lock-Down fürs Home-Schooling. Die Seite bietet einfach zu findende, kuratierte und kontextualisierte Inhalte für den Unterricht - und spart so Hunderte von Stunden für..."
Learning Innovations,Online-Veranstaltung am 22./23. Feb:  «Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung»,"Gerne möchten wir Sie auf eine spannende Online-Veranstaltung am 22. und 23. Februar 2021 hinweisen: Das Transfernetzwerk vierpunkteins richtet seine zweite Lernstatt mit dem Titel “Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung” aus. Innerhalb von zwei Tagen werden interessante Keynotes und Workshops stattfinden, die sich mit den aktuellen Themen der digitalen Aus- und Weiterbildung beschäftigen. Und das beste? Die Veranstaltung ist komplett kostenlos. HIER können Sie sich direkt anmelden. Prof. Dr. Andrea Back wird auch an der Veranstaltung teilnehmen und ist besonders an folgenden zwei Programmpunkten interessiert: Keynote von Wolfgang Reichelt (Dekra Media): „Handlungsorientierte Aus- und Weiterbildung mit neuen Medien – Status Quo und Zuk..."
Learning Innovations,Methoden zur effektiveren Gestaltung von E-Postern,"Auf akademischen Konferenzen wird das Thema E-Poster immer relevanter, denn es ist gar nicht mehr so unüblich, dass Forschende ihre Vorhaben in sogenannten ""Poster-Sessions"" präsentieren. Wir finden es eine recht innovative Möglichkeit in einer begrenzten Zeit Forschungsvorhaben anschaulich rüberzubringen. Besonders in der jetzigen Home-Office Zeit, können E-Poster eine erfrischende Abwechslung zu den langatmigen Power-Point-Präsentationen via Videokonferenzen darstellen. Folgendes Video hat sehr konkrete Tipps, sowohl inhaltlich als auch optisch, für die bessere Gestaltung von Forschungspostern zusammengefasst: [embed]https://www.youtube.com/watch?v=AwMFhyH7_5g[/embed] Wir, am Lehrstuhl, benutzen sehr gerne das Tool CANVA zur Gestaltung von visuellen Hilfsmitteln. Die Benutzung ..."
