Autor,Titel,Tags,Text
Prof. Dr. Andrea Back,"Spielerisch Lernen mit Quizzen von Kahoot!,Weitere Artikel",Mobile Business,"Der Erfolg von Fernsehshows wie “Wer wird Millionär” oder Apps wie “Quizzduell” zeigt: Quizzen macht Spass und sorgt für Unterhaltung! Diese Erkenntnis kann man sich auch im Unterricht zunutze machen. Mit modernen Quiz-Apps wie “,Kahoot!,” geht das ganz einfach. Als Lehrer kann man dort in nur wenigen Schritten Quizaufgaben erstellen, das Quiz mit Bildern und einer kurzen Beschreibung abrunden und den Schülerinnen und Schülern per Link oder über einen Gamecode zur Verfügung stellen. Dabei ist zum Beispiel die Anzahl der Antwortoptionen und das Zeitlimit pro Frage anpassbar. Die Schüler können dann alleine das Quiz spielen oder – und hier wird es spannend – gemeinsam gegeneinander antreten. Eine solche gemeinsame Rätselrunde lässt sich zum Beispiel wunderbar in den Unterricht einbetten. Hierzu können die Fragen per Beamer an die Wand geworfen werden und die Klasse kann per Handy ihre Antworten eingeben. Nach jeder Frage kann die Punkteverteilung und eine Rangliste angezeigt werden. So kann der Lehrende unmittelbar überprüfen, wie viele der Schülerinnen und Schüler die Lerninhalte verstanden haben – und dies nicht im Rahmen einer (für viele angsteinflössenden) Prüfung, sondern spielerisch und ohne Druck. Einzige Einschränkung: bislang ist die App nur auf Englisch verfügbar.,https://techcrunch.com/2018/01/18/education-quiz-app-kahoot-says-its-now-used-in-50-of-all-us-classrooms-70m-users-overall/,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Prof. Dr. Andrea Back,"Digitalisierung in der Schule – woran hapert es?,Weitere Artikel",Learning Innovations," Dieser Artikel der FAZ zeigt einige Unsicherheiten von Lehrkräften in diesem Bereich auf, “Digitale Schule – vernetztes Lernen” von BITKOM,Sonderstudie “Schule Digital” ,unter diesem Link herunterladbar. ,Pixabay ,
						,Prof. Dr. Andrea Back,
							,Learning Innovations"
Prof. Dr. Andrea Back,"Das virtuelle Büro – arbeiten wir bald alle in der virtuellen Welt?,Weitere Artikel",Future of Work,"Malen Sie sich aus, Ihr Büro hätte Blick aufs Meer, eine grosse Fensterfront, pflegeleichte Grünpflanzen in der Ecke und die Einrichtung hätten Sie selbst nach Belieben ausgesucht und zusammengestellt. Auf der einen Seite eine Bibliothek mit einer schier endlosen Bücherauswahl, auf der anderen ein Gemälde Ihres Lieblingskünstlers. Was den meisten wie ein Wunschtraum erscheint, könnte schon bald Wirklichkeit werden – in der virtuellen Welt.,Während neue Trendtechnologien wie Augmented, Virtual und Mixed Reality bislang hauptsächlich im Entertainmentbereich eingesetzt wurden (man denke an PokemonGo und ähnliche Spielereien), könnten Sie schon bald in den Arbeitsalltag eindringen. Logistikunternehmen wie DHL beispielsweise setzen bereits Brillen ein, die ihren Mitarbeitenden beim “Picking” (dem Zusammensuchen eines bestellten Warenkorbs) im Augenwinkel den kürzesten Weg anzeigen und die Barcodes der Produkte scannen, um Fehler zu vermeiden. Bei Boeing blenden “smart glasses” den Flugzeugingenieuren wichtige Knotenpunkte für Verkabelungen ein. Was aber bedeutet Virtual Reality fürs Büro?,Viel spricht dafür, dass sich auch der Büroalltag durch neue Technologien fundamental verändert wird. Ein mögliches (vielleicht etwas überspitztes) Szenario könnte so aussehen: Sie kommen an Ihren Arbeitsplatz, greifen sich – nachdem Sie Ihren Kaffee getrunken haben – eine Tastatur und eine VR Brille und tauchen ein in Ihre eigene Welt, Ihr virtuelles Büro. Ihr Schreibtisch befindet sich im gleichen Zustand, wie Sie ihn gestern hinterlassen haben. Rechts steht ein Korb mit Ihrem Email-Postfach – so haben Sie immer im Blick, wie viel Post sich gerade darin stapelt. Sobald Sie den Korb mit der Hand berühren, erscheinen Ihre Mails auf dem virtuellen Bildschirm vor Ihnen. Ein Kollege aus Singapur hat Ihnen einen überarbeiteten Prototyp des neuen Produkts geschickt, an dem Sie gerade arbeiten. Eine Geste mit der Hand und das 3D-Modell schwebt vor Ihnen auf dem Schreibtisch. Mit Wischbewegungen können Sie es drehen und von allen Seiten betrachten. Auf der Pinnwand neben Ihnen manifestiert sich eine Post-it-Notiz, geschrieben von einem Kollegen aus New York, und bei Anrufen wird Ihnen ein Bild des Anrufers neben Ihrem Schreibtisch eingeblendet. Und wenn es Ihnen mal zu viel wird, machen Sie doch einfach eine kurze Auszeit – der nächste Strand ist nur eine Handbewegung weit entfernt.,
						,Prof. Dr. Andrea Back,
							,Future of Work"
Lena-Marie Paetzmann,"Die Sprache der Videokonferenzen: die wichtigsten Handzeichen,Weitere Artikel","Digital,Future of Work,Linktipps","Der YouTube-Kanal ,hat zu gegebenem Anlass ein Video zu den nützlichsten Handzeichen in Videokonferenzen veröffentlicht. Wir finden das Video sehr hilfreich, um Videocalls effizienter zu gestalten.,Wir haben alle Handzeichen in Bildern zusammengefasst. Das amüsante Video kann nach der Aufzählung angeschaut werden:,https://www.flaticon.com,https://creazilla.com/de/nodes/53774-frau-mit-ueberkreuzten-armen-clipart,https://emojiterra.com/de/zwei-erhobene-handflachen/,https://unsplash.com/photos/HJmxky8Fvmo ,
						,Lena-Marie Paetzmann,
							,Digital,, ,Future of Work,, ,Linktipps"
Lena-Marie Paetzmann,"ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober,Weitere Artikel","Digital,Future of Work,Learning Innovations,Linktipps","Vom 12. – 16. Oktober 2020 findet die ,ZP Europe (Zukunft Personal Europe),zum ersten Mal digital statt. Die ZP Europe ist das führende ExpoEvent rund um die Welt der Arbeit und präsentiert an fünf virtuellen Messetagen innovative Produktlösungen und Vorträge.,Am Thementag „Learning und Training“ (14. Oktober) werden live Online-Workshops mit Learning-Experten wie Jochen Robes (Robes Consulting, Hochschullehrer), Roman Rackwitz (Gamification Designer bei Engaginglab) und Gudrun Porath (Journalistin und Autorin) abgehalten und aktuelle Fragestellungen der Weiterbildung diskutiert. Unter anderem wird angeschnitten, welche neuen Bildungs- und Lernstrategien durch die Corona-Krise in den Vordergrund getreten sind, und wie man kurze und leicht verdauliche Lerneinheiten (Learning Nuggets) entwickelt und orchestriert.,Zudem werden folgende Vorträge und Workshops zu Trends in der digitalen Weiterbildung gehalten:,Die ,Registrierung für das Event ist kostenlos,auch wir werden uns zu einigen Vorträgen und Workshops reinschalten und sind schon sehr gespannt.,https://www.haufe.de/personal/personalszene/zpe-virtual-programmhighlights-rund-um-learning_74_525152.html,https://www.marketinginstitut.biz/blog/new-learning-moderner-lernansatz-fuer-die-digitale-zukunft/,
						,Lena-Marie Paetzmann,
							,Digital,, ,Future of Work,, ,Learning Innovations,, ,Linktipps"
Lena-Marie Paetzmann,"Trendradar von fortiss zu aktuellen Softwarethemen,Weitere Artikel","Artificial Intelligence,Digital,Linktipps","Das Forschungsinstitut des Freistaats Bayern für softwareintensive Systeme und Services (fortiss) hat einen ,Trendradar, veröffentlicht, der darüber informieren soll, welche Softwarethemen momentan aktuell und relevant sind. Der Trendradar gibt eine objektive Bewertung zu aktuellen Technologien und Themenfeldern ab (z.B. Kategorie ,Technologie , Wie auf dem linken Bild zu sehen ist, wird jede Technologie auf einer Skala von 0 – 100 gerankt, wobei 100 die maximale Relevanz wiedergibt. Mit einer Bewertung von 75 wird ,eine hohe momentane Relevanz in der Kategorie ,zugesprochen. Nun ist das kein Wunder, doch was uns überrascht hat, waren die für uns unbekannten Technologien neben Python. Um ein tieferes Verständnis für die angegebenen Technologien zu bekommen, kann  ganz einfach auf diese geklickt werden, um sie sich dann in einem Direktvergleich anzeigen zu lassen. Diesen Direktvergleich haben wir uns in der zweiten Grafik ausspucken lassen:,Was uns besonders gut gefällt, ist die grafische Darstellung der Abhängigkeiten zwischen den unterschiedlichen Technologien im Bereich ,:,Mit diesem Trendradar finden sich somit schnell Antworten auf die Fragen, welche Cloud-Anbieter im Bereich IoT (Internet of Things) momentan wie gefragt sind und welche Technologien für Business Intelligence Prozesse auf dem Markt verwendet werden. Wir finden den Trendradar sehr hilfreich und fast schon „süchtig machend“, wenn man sich im Wald der unzähligen Technologien verliert.,https://www.heise.de/developer/meldung/fortiss-lanciert-Trendradar-zur-Softwareentwicklung-4577986.html,https://cce.fortiss.org/trends/radar,
						,Lena-Marie Paetzmann,
							,Artificial Intelligence,, ,Digital,, ,Linktipps"
Lena-Marie Paetzmann,"Learning Analytics – Das Lernen der Zukunft basiert auf Smart Data,Weitere Artikel","Digital,Learning Innovations,Linktipps","Am , , findet die ,Learning Innovation Konferenz, zum ersten Mal online statt – Prof. Dr. Andrea Back ist im Beirat dieser Konferenz. Gerne möchten wir Ihnen einen Einblick in die Themen und das Programm geben. Die Teilnahme ist kostenlos.,Die LEARNING INNOVATION hat sich zum Ziel gesetzt, Innovationen im Lernen zu entdecken, zu reflektieren und zu praktizieren. Die Konferenz präsentiert relevante und neue, businessorientierte Lehr- und Lernformen und beobachtet stets den Horizont der laufenden und kommenden Entwicklungen.  Die 11. Learning Innovation Konferenz wird sich mit dem Thema , beschäftigen und Expert*innen aus verschiedenen Fachbereichen zusammenbringen. In Keynotes und weiteren Vorträgen werden 6 zentrale Fragen beantwortet:,
Die Learning Innovation Konferenz 2020 ist für Besuchende , Tickets können , gebucht werden.,Weitere Infos zur Konferenz, zum , und zur Online-Teilnahme finden Sie ,HIER.,https://www.learning-innovation.ch ,
						,Lena-Marie Paetzmann,
							,Digital,, ,Learning Innovations,, ,Linktipps"
Lena-Marie Paetzmann,"Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030,Weitere Artikel","Digital,Future of Work,Leseempfehlung,Linktipps","In einem sehr spannenden und inspirierenden Vortrag (siehe Video unten) über die Zukunft im Jahr 2030 prognostiziert Sven Gabor Janszky auf wissenschaftlicher Basis, wie sich unser Leben und Arbeiten verändern wird. Was genau macht man als Wissenschaftler, wenn man die Zukunft prognostizieren möchte? Man redet mit den Menschen, die mit ihren heutigen Entscheidungen mehr über die Zukunft bestimmen, als andere Menschen. Oft befinden sich diese Menschen im Silicon Valley und in China, so Janszky.,Besonders interessant sind seine Anekdoten zum zukünftigen Nutzen unserer Daten. Dabei legt er besonderes Augenmerk auf die ,. Janszky spricht hierbei von , (predictive Enterprises), die nicht nur ihre vergangenen Verkaufszahlen analysieren können, sondern beispielsweise das genaue Verkaufsvolumen von Kaffee A in der Supermarktreihe X an Tag Y zur Uhrzeit Z bestimmen können. Die Software-Programme, die dahinterstecken und somit nahezu „alles“ prognostizieren können, werden auch einen Einfluss auf die zukünftigen Geschäftsmodelle haben. Denn Unternehmen, die sich an diesen Daten bedienen werden, das sind die Unternehmen, die am adaptivsten sind. Hierbei prognostiziert er autonome Autos, die je nach Stimmung des Fahrers ihre Ausstattung anpassen: ein Schreibtisch zum Arbeiten, ein romantisches Gedeck für ein Dinner zu zweit, oder ein Bett für einen erholsamen Mittagsschlaf.,Wer diese Prognosen noch relativ harmlos findet, wird nun staunen: Janszky prognostiziert, dass wir 2030 morgens in einen Spiegel schauen können, der uns sagt, dass wir beispielsweise zu 70% krank sind. In einer halben Sekunde wird dann eine automatisierte Krankschreibung vom Arzt zum Arbeitnehmer geschickt. Gleichzeitig empfiehlt der Spiegel (auf Basis von unseren Darmbakterien, d.h. Vernetzung mit der Toilette), was wir essen sollten, damit wir zum nächsten Tag nur noch zu 19% krank sind. Verrückt? Dann warten wir mal, was der chinesische Entwickler des ,BGI, (Dr. Chong Tang) in den nächsten Jahren auf den Markt bringen wird, denn er gehört mit seiner Genforschung zu den ganz relevanten Entscheidern und Schreibern der Zukunft.,Auch spannend, aber auf einer ganz anderen Ebene: Die Zukunft des Glücks. Hierzu hat Janszky eine kurze Studie mit einem persönlichen Kommentar veröffentlicht. Dabei prognostiziert er wie künstliche Neuronen und biochemische Einflussnahmen in Zukunft unser Empfinden für Glück verändern werden: ,Trendanalyse-Glück.pdf.,
						,Lena-Marie Paetzmann,
							,Digital,, ,Future of Work,, ,Leseempfehlung,, ,Linktipps"
Prof. Dr. Andrea Back,"Blockchain – mehr als nur Bitcoins?,Weitere Artikel",Mobile Business,"Mitunter eines der wichtigsten Themen des diesjährigen ,Start Summits,, Konferenz für Studierende, Gründer und Investoren für Tech-Startups, war Blockchain.,Das Thema wurde von mehreren Speakern aufgenommen (so zum Beispiel von Pamela Morgan in ihrer Keynote “Bitcoin, Blockchain, Smart Contracts: 20 minutes could change your life too”) und Startups aus diesem Bereich waren mit Ständen präsent. Nach dem ersten Hype der Blockchain-Technologie durch Bitcoin wurden vermehrt Anwendungsfälle abseits der reinen “digitalen Währung»” adressiert. So lassen sich mit Smart Contracts in der etablierten Blockchain “Ethereum” (beheimatet im “Crypto Valley” im Kanton Zug) beispielsweise im Versicherungsbereich nach einem Ereignisfall automatisiert Dienstleistungen auslösen, beispielsweise die Polizei, Glaser oder Schlüsselmacher, und diese gleich auch abrechnen. Oder Löhne sowie die Nutzung von Gütern in einer Sharing Economy liessen sich mit Smart Contracts in Echtzeit, z.B. in Millisekunden, genau abrechnen. In Kombination mit künstlicher Intelligenz und Sensoren im Internet der Dinge ergeben sich hier eine Vielzahl von Möglichkeiten.,Der diesjährige Start-Summit fand am 24./25. März in St.Gallen unter dem Thema “be where innovation happens” statt. Die Konferenz wird jährlich von Studierenden der Universität St.Gallen (HSG) organisiert und hat zum Ziel, Studierende, Gründer und Investoren zusammenzubringen. Mit über 2’000 Teilnehmenden ist die Konferenz seit 1997 zu einer relevanten Veranstaltung in der Schweiz herangewachsen und hat mit START Global inzwischen europaweite Ableger.,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Prof. Dr. Andrea Back,"Kolumne: Meine Aufmerksamkeit gehört mir,Weitere Artikel",Kolumne,"Neulich beim Grillabend habe ich eine Unterhaltung von Jugendlichen mitbekommen. Sie nutzen die Snapchat App für Instant Messaging und es ging darum, wie sie ihr/e “Flämmchen” behalten. Dafür muss man wohl jeden Tag, wirklich ausnahmslos JEDEN, mindestens eine Nachricht senden – irgendwas – um diesen Status nicht zu verlieren. Von “Müssen” war aber nichts zu spüren, ich hörte nur spielerische Begeisterung heraus. Verstehen Sie das?,Mein erster Impuls jedenfalls war Abwehr. Was ??! Da schafft es so ein simples Feature, dass jemand – gar schon beim Aufwachen – daran denkt, dass das ganz oben auf der Tages-To-do-Liste steht. Das ist doch, als würde meine Aufmerksamkeit ge-kidnappt! Unversehens wird so etwas zur Gewohnheit.,Auf den Kolumnentitel bin ich gekommen, weil ich an das neueste Buch meiner Uni-Kollegin Miriam Meckel denken musste, das “Mein Kopf gehört mir” heisst. Sie schreibt über das Brainhacking, d.h. das Manipulieren unseres Gehirns. Mit Drogen hat der Mensch das ja schon immer gern gemacht, und man kann das in Zukunft durch Hirnleistungsdrogen und Computerchip-Implantate noch weitertreiben. Während es im positiven Sinne die Seite des selbstbestimmten Hirn-Tunings geben wird, was z.B. die Cyborgs vormachen, gibt es auch die negative Seite, wo sich damit Tür und Tor für Fremdmanipulationen öffnen. Wir müssen aber gar nicht auf physische Mensch-Maschine-Schnittstellen warten, denn Vorboten der Entwicklung, dass wir allein durch psychologische Tricks die Hoheit über unser Hirn und Denken verlieren, sind schon allgegenwärtig.,Was ich damit meine? Ähnliches wie beim Ohrwurm, also Musik im Kopf, die sich willentlich kaum abschalten lässt, was wir aber immerhin als lästig empfinden. Ist Ihnen schon aufgefallen, dass gedruckte Werbeplakate immer mehr durch Bildschirme mit Bewegtbild ersetzt werden? Ist das nicht auch lästig? Es ist nämlich sehr schwer, da bewusst nicht mehr hinzuschauen. Besonders manipulativ fand ich das an einem Flughafen, wo es an den Gepäckbändern vor lauter geschickt platzierten Bildschirmen gar keine Möglichkeit gab, mit dem Blick auszuweichen, da man ja seinen Koffer erspähen will. Ähnlich geht es mir mit den vielen Gutscheinen, die man beim Einkaufen bekommt. Wenn man sie aufhebt, krallen sie sich im Denken fest wie eine Zecke, denn man muss immer wieder dran denken, weil man ja nicht verpassen will, sie einzulösen. Das baut auf unsere Veranlagung, die es uns viel schwerer erscheinen lässt, etwas zu verlieren, das wir zu haben glauben, als etwas dazu zu bekommen. Wenigstens kann ich solche Coupons ablehnen oder gleich löschen bzw. wegwerfen, um mich dem zu entziehen. Die digitalen Möglichkeiten werden es aber immer schwerer machen, dem “Meine Aufmerksamkeit gehört mir” zu folgen. Aber vielleicht wollen die meisten das gar nicht negativ sehen – so wie die Jugendlichen bei Snapchat eher ihren kreativen Spieltrieb herausgefordert sahen?,Foto: Fabio Berti, Dreamstime.com,
						,Prof. Dr. Andrea Back,
							,Kolumne"
Prof. Dr. Andrea Back,"Wenn Website-Redesign ansteht, dann geht SEO jeden an,Weitere Artikel",Leseempfehlung,"Ende Jahr steht bei meinem Lehrstuhl ein Redesign der Website ,aback.iwi.unisg.ch, an, um dem neuen CI-Webdesign der Universität zu entsprechen. Wir haben uns von einem in eigener Sache erfahrenen Praktiker, Jürgen Lauber (,www.2ease.org,) sehr effektiv beraten lassen. Nützliche Tipps, auf weniger als 10 Seiten zum Einlesen, finden sich auch hier im aktuellen ,AM-START-Magazin,.,Bildquelle: Ausschnitt aus AM-START-Magazin,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
Prof. Dr. Andrea Back,"Drohnen im Zirkus Cirque du Soleil – Wie verändert die Technologie die Zirkusaufführung?,Weitere Artikel",Digital,"Man kennt den Cirque du Soleil für seine aussergewöhnlichen Vorführungen – extravagant, bezaubernd, ein “wow”. In diesem ,Video “Sparked” ,haben sie zusammen mit der ETH und Verity Studios kooperiert. Herausgekommen ist ein wundervolles Video, das zeigt, wie neue Technologien bei Aufführungen im Zirkus eingesetzt werden können – es verbindet Poesie mit Unterhaltung durch neuste Technologien., ,Hinter den tanzenden Lampenschirmen stecken Quadrocopters, mit welchen die ETH schon seit längerem als Untersuchungsobjekt forscht. In der sogenannten “Flying Machine Area” testen die Forscher an der ETH die Drohnen und Quadrocopter für unterschiedlichste Einsätze. Dabei sind Genauigkeit und der passende Moment massgebend. Auf was die Forscher und Künstler gleichermassen achten mussten, wurde dann später in diesem ,Video, zusammengestellt. Es zeigt nicht nur, wie die Quadrocopters zum Fliegen gebracht wurden, sondern gibt Einblicke in wundersame Dinge, die getestet, geprüft und entworfen wurden. Und plötzlich bekommt Jonglieren eine ganz neue Bedeutung. Was ist, wenn nicht mehr der Mensch die Bälle koordiniert, sondern die Bälle den Jongleur leiten?, ,Und mobile, fliegende Lampen mit Persönlichkeit zu Hause zu haben, ist auch mal eine Interpretation, wie Smart Homes aussehen könnten, oder?, ,Bildquelle: ,IBTimes ,
						,Prof. Dr. Andrea Back,
							,Digital"
Prof. Dr. Andrea Back,"Aufruf zu Einreichungen bis 3.3.2020 für die Smart IoT und Mobile Business Best Practice Awards,Weitere Artikel","Digital,Lehrstuhlnachrichten,Mobile Business,Smart-IoT","Am , findet wieder der ,Forum Day: Smart IoT und Mobile Business, statt. Das EMPA-Nest-Gebäude im Raum Zürich bietet Platz für rund 100 Teilnehmerinnen und Teilnehmer. Im Fokus stehen die innovativen Applikationen, die eingereicht wurden, und der aktive Austausch zwischen Experten aus Anwendungsunternehmen, Dienstleistungsunternehmen, Forschungsinstituten und den Studierenden. Vor allem werden am Forum Day die Smart IoT und Mobile Business Best Practice Awards verliehen. Diesen Sommer erhielten Midor und Phonak/Sonova die Awards – einen Rückblick auf alle Award-Gewinner seit 2014 findet sich ,hier,Die Einreichungsphase für nächstes Jahr beginnt jetzt, mit einer ,. Merken Sie sich bereits heute vor, Ihre IoT- oder Ihre Mobile-Business-Lösung entweder direkt als Anwenderunternehmen oder zusammen mit Ihrem Entwicklungspartner, oder auch als Anbieter direkt einzureichen. Ausgezeichnet werden softwarebasierte Anwendungen, die auch ihren hohen «Business Value» aufzeigen können. Zu unserer hochkarätigen ,Jury aus Praxis und Forschung,sind weitere Mitglieder hinzugekommen. Diese wählen die für die Awards nominierten Unternehmenslösungen aus, die am Forum Day 2020 Ihre Lösungen im bewährten Innovation-Speeddating-Format vorstellen. Anhand dieser Präsentationen werden dann die Gewinner für den IoT-Award und den Mobile Business Award bestimmt. Alle Informationen finden Sie auf ,unserer Website.,Direkt zum Einreichungsformular gelangen Sie ,Bei Fragen wenden Sie sich gerne an den Projektleiter ,Christian Marheine. ,Wir freuen uns auf die Einreichungen und einen bereichernden Austausch zu aktuellen IoT-Lösungen und Mobile Business Solutions!,Prof. Dr. Andrea Back und Christian Marheine, Institut für Wirtschaftsinformatik an der Uni St.Gallen – IWI-HSG,
						,Prof. Dr. Andrea Back,
							,Digital,, ,Lehrstuhlnachrichten,, ,Mobile Business,, ,Smart-IoT"
Prof. Dr. Andrea Back,"9 Plattformen zum Programmieren lernen,Weitere Artikel",Learning Innovations,"Man hört immer wieder, fast schon täglich, dass Code die neue Art der “Schriftkundigkeit” (Engl. Literacy) ist. In seinem ,Blog ,hat Larry Kim, CEO von Mobile Monkey, nicht nur Gründe, wieso man Coden lernen sollte, zusammengetragen, sondern stellt auch 9 Plattformen vor, auf denen man verschiedene Programmiersprachen lernen kann – spielerisch und in Apps, also anytime, anywhere.,Ich werde mir über den Sommer die beiden Plattformen ,Codeacadmy Hour of Code, und ,Mimo, (Javvy für Java) näher anschauen. Codeacademy eher für die Zeitblöcke, wo ich mir regelmässig Zeit nehmen werde, und Javvy für zwischendurch, sei es, auf den Zug wartend oder zwischen zwei Meetings. Ich werde Sie auf dem Laufenden halten.,Bildquelle: ,Maxpixel, ,
						,Prof. Dr. Andrea Back,
							,Learning Innovations"
Christian Marheine,"Forum Day 2020 Updates,Weitere Artikel","Lehrstuhlnachrichten,Mobile Business,Smart-IoT","Gute Neuigkeiten! Der ,Entscheid des BAG vom 27.05, erlaubt ab sofort Events mit bis zu 300 Leuten unter der Voraussetzung von Schutzkonzepten. Für unser Event am 1. September rechnen wir mit einer Teilnehmeranzahl von ca. 50 bis 70 Leuten. Somit kann unser Team nun mit der Feinplanung für den Forum Day 2020 beginnen. Freuen Sie sich also zusammen mit uns auf einen Tag voller spannender Lösungen und Technologien sowie Networking- und Austauschmöglichkeiten. Interessiert? Dann besorgen Sie sich gerne ,HIER, ,. Alle Informationen zum Forum Day und dem Programm finden Sie auf unsere Website: ,https://mbforum.iwi.unisg.ch/,.,
						,Christian Marheine,
							,Lehrstuhlnachrichten,, ,Mobile Business,, ,Smart-IoT"
Christian Marheine,"Innovation durch den Einsatz von Enterprise IoT-Lösungen: Ein Modell zur Bestimmung des Innovationspotenzials,Weitere Artikel","Lehrstuhlnachrichten,Publikation,Smart-IoT","Bei dem Thema Internet der Dinge (engl. Internet of things (IoT)) geht es um die Vernetzung von Dingen, Systemen und Menschen über das Internet. Einige Experten vertreten die Meinung, dass das IoT – ähnlich wie Smartphones und mobile Anwendungen in den vergangenen 10 Jahren – der wesentliche Treiber für eine ähnlich grosse oder sogar grössere Innovationswelle sein wird. In unserem neuesten ,Artikel,, der bereits online in der HMD Praxis der Wirtschaftsinformatik erschienen ist, erarbeiten wir ein Framework mit dem Unternehmen das Innovationspotenzial Ihrer IoT-Anwendungen bewerten können – eine Art Reifegradmodell für IoT-Anwendungen.,Hier kommen Sie zum Artikel. ,
						,Christian Marheine,
							,Lehrstuhlnachrichten,, ,Publikation,, ,Smart-IoT"
Prof. Dr. Andrea Back,"Interesse an Digital Transformation Maturity Assessment und Studie hoch,Weitere Artikel",Lehrstuhlnachrichten,"Wöchentlich erreichen uns Anfragen zu unseren Digital Maturity & Transformation Studien und der Assessmentmethode – von Verbänden, Unternehmen, Forschenden, und Weiterbildungsorganisationen; z.B. wird die Methode im VR-CAS der ,Swiss Board School, vermittelt. Es ist erfüllend zu sehen, dass wir in anwendungsorientierter Forschung ein nützliches Instrument für die Strategiearbeit im Zeitalter der Digitalen Transformation kreieren konnten. Hier findet man Infos zum Download: ,https://aback.iwi.unisg.ch,. Vertiefende und darüber hinausgehende Forschungsergebnisse, wie Unternehmen die Digitale Transformation im „Fuzzy Frontend“ anpacken, bitte ,hier auf unserem Publikationsportal Alexandria, nachschlagen.,
						,Prof. Dr. Andrea Back,
							,Lehrstuhlnachrichten"
Arne Grüttner,"Open Desk: Modeerscheinung oder Produktivitätsmaschine?,Weitere Artikel",Future of Work,"Laut einer aktuellen Studie von Oxford Economics (einem mit der Universität Oxford verbundenen Forschungsunternehmen) wollen die Millennials vor allem “weniger Lärm am Arbeitsplatz” und “die Fähigkeit, sich zu konzentrieren und ohne Unterbrechungen zu arbeiten”. Weit davon entfernt, “sich nicht darum zu kümmern, wo sie sitzen”, sind Millennials eher geneigt zu sagen, “dass Lärm sie von der Arbeit ablenkt und sie im Allgemeinen mehr durch Umgebungsgeräusche im Büro gestört werden”.,Nun ziehen gerade heute Open-Desk-Konzepte, die eine erhöhte Produktivität und Kollaboration versprechen, in unsere Arbeitswelt ein. Kaum ein grösseres Unternehmen bietet heute kein Open-Desk-Prinzip an. Dabei gibt es fast keinen wissenschaftlichen Beweis dafür, dass Grossraumbüros die Produktivität steigern. Ganz im Gegenteil: mehrere von Experten begutachtete wissenschaftliche Studien zeigen, dass Grossraumbüros Stress und Krankheit erhöhen, die Konzentrationsfähigkeit der Mitarbeiter verringern und die Produktivität der Mitarbeiter erheblich senken.,Wie also könnte der Arbeitsplatz der Zukunft stattdessen aussehen? Genau wissen wir es nicht. Aber die nächste Modeerscheinung – der virtuelle Arbeitsplatz – steht schon in den Startlöchern. Das wahre Büro der Zukunft könnte mehr einem Online-Spiel als einem Open-Office-Space ähneln.,Quelle: ,https://www.inc.com/geoffrey-james/hate-open-plan-offices-heres-whats-coming-next.html,
						,Arne Grüttner,
							,Future of Work"
Prof. Dr. Andrea Back,"Drei App Stores für progressive Webapps,Weitere Artikel",Mobile Business,"Apps sind eine tolle Sache, denn ohne Apps wäre das Smartphone nahezu nutzlos. Auf der anderen Seite brauchen Apps aber auch Speicherplatz und die meisten versauern nach der Installation auf dem Homescreen und werden kaum noch genutzt. Andere öffnen wir dutzende Male am Tag und gerade Social Media Apps sind oft verantwortlich für die Smartphone-Sucht. Bereits in unserem Newsletter vom März hatten wir in einem ,Artikel, über den Trend der progressiven Webapps berichtet. Neben einer Reihe weiterer Vorteile insbesondere für App-Anbieter (native Features ohne doppelte Programmierung) bieten progressive Webapps gegenüber nativen Apps den Vorteil, dass sie keine Installation benötigen, sondern direkt aus dem Browser heraus genutzt werden können – und sich doch wie “echte” Apps anfühlen. Gerade wenn man eine App nur schnell ausprobieren möchte, kann das den Prozess beschleunigen.,Heute möchten wir Ihnen eine Auswahl an passenden App Stores vorstellen, die sich im Bereich der progressiven Webapps hervorgetan haben. Mit ,Appscope,, ,Outweb, und ,PWArocks, haben sich inzwischen drei Anbieter etabliert. Auch wenn das Angebot noch lange nicht so umfangreich ist wie beim Apple App Store oder bei Google Play finden sich dort bereits viele der üblichen Social Media Apps, einige Produktivitätstools und ein paar einfache Spiele. Schauen Sie doch einfach mal rein und überzeugen Sie sich selbst.,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Prof. Dr. Andrea Back,"MMB Learning Delphi: Erklärfilme als Umsatzbringer der Stunde,Weitere Artikel",Leseempfehlung,"Wie jedes Jahr präsentiert das mmb Institut mit der Trendstudie mmb Learning Delphi die Auswertung der Befragung zahlreicher E-Learning-Expertinnen und -Experten zum digitalen Lernen. Dabei kristallisieren sich als bedeutsamste Lernformen Blended Learning, Erklärfilme, Micro-Learning, Mobile Anwendungen und virtuelle Klassenräume heraus, während Web-basierte Trainings an Bedeutung verlieren. Der gesamte Report mit allen Ergebnissen und Insights ist abrufbar unter: ,www.mmb-institut.de/mmb-monitor/trendmonitor/mmb-Trendmonitor_2018_I.pdf,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
