web-scraper-order,web-scraper-start-url,loadmore,loadmore-href,loadstores,loadstores-href,adresse,telefon,website
"1615369970-64","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Naturprodukte zum Sunneliecht","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/naturprodukte-zum-sunneliecht.html","Froburgstrasse 3, 8194 Huentwangen","+41 44 869 05 73","null"
"1615369881-39","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","sahara Greenshop","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/sahara-panda-laden.html","Aeschenvorstadt 4, 4051 Basel","+41 61 228 78 61","null"
"1615369797-15","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Vier Jahreszyte","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/vier-jahreszyte.html","Untergass 15, 8193 Eglisau","+41 44 867 12 50","null"
"1615370026-80","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Martinslade","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/martinslade.html","Luzernstrasse 94, 6102 Malters","+41 41 497 36 30","null"
"1615369763-5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Werk- und Wohnhaus zur Weid","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/werk-und-wohnhaus-zur-weid.html","Rossau, 8932 Mettmenstetten","+41 44 768 50 84","null"
"1615369748-1","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Zum Kleeblatt - Biologisches und mehr","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/zum-kleeblatt-biologisches-und-mehr.html","Holeestrasse 158, 4054 Basel","+41 61 301 49 56","null"
"1615369991-70","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Naturellement Vôtre","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/naturellement-votre.html","Rue des Rottes 26, 1964 Conthey","+41 27 306 18 00","null"
"1615370011-76","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Müller Edy","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/mueller-edy.html","Grüningerstrasse 147, 8626 Ottikon","+41 44 935 43 29","null"
"1615370116-105","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Kaufmann Jakob","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/kaufmann-jakob.html","Oberfeld, 6275 Ballwil","+41 41 910 50 04","null"
"1615370363-175","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio Biasca","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-biasca.html","Via Lucomagno 12, 6710 Biasca","+41 91 862 36 86","null"
"1615370318-162","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio-Märt Fricktal","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-maert-fricktal.html","Schaufelgasse 34, 4313 Möhlin","+41 61 851 34 16","null"
"1615370056-89","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Le petit Paradis","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/le-petit-paradis.html","Résidence - Equestre10, 1746 Prez-vers-Noréaz","+41 26 323 32 80","null"
"1615370261-146","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Birena","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/birena.html","Freiburgstrasse 1, 3150 Schwarzenburg","079 706 33 71","null"
"1615370099-100","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","L'ULTIMO BACIO Rheinfelden GmbH","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/zum-nektar-gmbh.html","Obertorplatz 7, 4310 Rheinfelden","+41 61 831 00 33","null"
"1615370353-172","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio Imkerladen","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-imkerladen.html","Berkenstrasse 9, 3373 Heimenhausen","+41 62 961 64 20","null"
"1615370001-73","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Naturade","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/naturade.html","l'Abbaye 108, 2906 Chevenez","+41 32 476 68 07","null"
"1615370123-107","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Hildegard- Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/hildegard-laden.html","Pestalozzistrasse 10, 8865 Bilten","+41 55 615 46 08","null"
"1615369891-42","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Rüttihubelbad AG","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/ruettihubelbad-ag.html","null","+41 31 700 87 37","null"
"1615369912-47","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Punkt Wil","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/punkt-wil.html","Marktgasse 38, 9500 Wil SG","+41 71 911 66 77","null"
"1615369815-20","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","TOR 14","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/tor-14.html","Bäckerstrasse 52, 8026 Zürich","+41 43 321 32 49","null"
"1615370226-137","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Chornlade","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/chornlade.html","Fierzgasse 16, 8005 Zürich","+41 44 271 70 97","www.chornlade.ch"
"1615370397-185","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Atelier Spinnler","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/atelier-spinnler.html","Hauptstrasse 47, 4654 Lostorf","+41 62 298 22 03","null"
"1615369790-13","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Vital Laden im Speisehaus","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/vital-laden-im-speisehaus.html","Dorneckstrasse 2, 4143 Dornach","+41 61 706 85 10","null"
"1615369943-56","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Ojo De Agua","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/ojo-de-agua.html","Oetenbachgasse 13, 8001 Zürich","+41 44 210 47 02","null"
"1615370195-128","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Egli Jona","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/egli-jona.html","Molkereistrasse 16, 8645 Jona","+41 55 212 61 66","null"
"1615369905-45","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Q-Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/q-laden.html","Quartierhof 1, 3013 Bern","+41 31 331 66 67","null"
"1615370150-115","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Gartenbauschule Hünibach","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/gartenbauschule-huenibach.html","Chartreusestrasse 7, 3626 Hünibach","+41 33 244 10 21","null"
"1615369835-26","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Städtlilade","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/staedtlilade.html","Städtchenstrasse 55, 7320 Sargans","+41 81 723 11 28","null"
"1615369838-27","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Spycher Natur Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/spycher-natur-laden.html","Engelbergstrasse 26, 6370 Stans","+41 41 610 72 70","null"
"1615369925-51","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Plüss Bio Markt GmbH","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/viva-sarnen.html","Dorfplatz 6, 6060 Sarnen","+41 41 661 18 92","null"
"1615370411-189","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Angolo della Natura","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/angolo-della-natura.html","Viale della Stazione, 7742 Poschiavo","+41 81 844 08 83","null"
"1615370236-140","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Cérès ""autrement""","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/ceres-qautrementq.html","Place des Halles 5, 2000 Neuchatel","+41 32 725 26 37","null"
"1615369770-7","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Votre Santé","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/votre-sante.html","28, Bd Carl-Vogt, 1205 Genève","+41 22 321 69 58","null"
"1615369766-6","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Welt und Naturlada","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/welt-und-naturlada.html","Landstrasse 91, 9494 Schaan","null","null"
"1615370084-96","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","La Source","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/la-source.html","Place Centrale, 1936 Verbier","+41 27 771 22 87","null"
"1615370015-77","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Mühlistübli / Berger Mühle","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/muehlistuebli--berger-muehle.html","Unterdorfstrasse 23, 3612 Steffisburg","+41 33 437 36 13","null"
"1615369860-33","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Sesam Natura","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/sesam-natura.html","Bahnhofstrasse 99, 8620 Wetzikon ZH","+41 44 930 28 72","null"
"1615369963-62","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Nektar Bioladen","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/nektar-bioladen.html","Luzernerstrasse 18, 6010 Kriens","+41 41 320 53 88","null"
"1615370240-141","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Centaurea","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/centaurea.html","Hauptstrasse 30, 9434 Au SG","+41 71 744 66 57","null"
"1615370039-84","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Magasin Cérès","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/magasin-ceres.html","Place du marché 4, 2300 La Chaux-de-Fonds","+41 32 913 35 94","null"
"1615370113-104","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Kochtopf","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/kochtopf.html","Rathausplatz 5, 6210 Sursee","+41 41 921 54 52","null"
"1615370219-135","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Christine Frei","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/christine-frei.html","Schwimmbadstrasse 7, 8213 Neunkirch","+41 52 681 22 80","null"
"1615369936-54","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Paradies Dorflädeli","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/paradies-dorflaedeli.html","Breitlenweg 6, 8634 Hombrechtikon","+41 55 244 26 12","null"
"1615370209-132","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Der Laden Biofachgeschäft","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/der-laden-biofachgeschaeft.html","Delsbergstrasse 24, 4242 Laufen","+41 61 763 09 41","null"
"1615370272-149","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Biosfair","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/biosfair.html","Bahnhofstrasse 4, 8570 Weinfelden","+41 71 622 75 55","null"
"1615370164-119","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Gaia Alimentation biologique","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/gaia-alimentation-biologique.html","2-4, rue Victor Tissot, 1630 Bulle","+41 26 912 99 20","null"
"1615370278-151","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bioprodukte Grünegg GmbH","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bioprodukte-gruenegg-gmbh.html","Bellevuestrasse 2a, 6280 Hochdorf","+41 41 910 31 36","null"
"1615370268-148","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","BIOSFERA","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/biosfera.html","Via Bramantino 27, 6600 Locarno","+41 91 751 15 50","null"
"1615370029-81","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Margrit Bugmann (Bärner Märit)","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bugmann-margrit.html","Muristrasse 99, 3006 Bern","+41 31 371 43 36","null"
"1615370304-158","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bioladen Eichblatt","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bioladen-eichblatt.html","St. Johanns-Vorstadt 70, 4056 Basel","+41 61 321 28 47","null"
"1615369842-28","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Sonny Sport AG","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/sonny-sport-ag.html","brüggera, 1716 Schwarzsee","+41 26 412 13 51","null"
"1615370275-150","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","BioPunktBasel","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/biopunktbasel.html","Mülhauserstrasse 78, 4056 Basel","0615061716","null"
"1615370140-112","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Gesundquelle Naturladen","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/gesundquelle-naturladen.html","Ob. Bahnhofstrasse 16, 3714 Frutigen","+41 33 671 38 02","null"
"1615370342-169","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio Markt","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-markt.html","Hubelweg 5, 1712 Tafers","+41 26 494 25 13","null"
"1615370373-178","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bidone","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bidone.html","Hammerstrasse 21, 8008 Zürich","+41 44 382 35 11","null"
"1615369922-50","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Prima Natura","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/prima-natura.html","Eisengasse 12, 6004 Luzern","+41 41 412 26 30","null"
"1615369973-65","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","NATÜRLICHmeyer","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/natuerlichmeyer.html","Strählgasse 23, 5413 Birmenstorf AG","+41 56 225 09 89","null"
"1615369956-60","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Niione Natur","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/niione-natur.html","Alpenstrasse 15, 6304 Zug","+41 41 710 96 91","null"
"1615370095-99","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","L'Ultimo Bacio St.Gallen","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/l-ultimo-bacio-st-gallen.html","Poststrasse 14, 9000 St.Gallen","071 222 8300","null"
"1615370233-139","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Ceres Nature","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/ceres-nature.html","Place du Manoir 12, 1223 Cologny","+41 22 736 13 82","null"
"1615369884-40","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","s'Lädeli","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/slaedeli.html","Ausserdorf 22, 8421 Dättlikon","+41 52 315 37 03","null"
"1615370391-183","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","AU FRIAND Sarl","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/au-friand-sarl.html","Faubourg de l'Hopital 1, 2000 Neuchâtel","+41 32 725 43 52","null"
"1615369908-46","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","purpur Biolädeli","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/reformhaus-blaser.html","Postgasse 2 / Höheweg, 3800 Interlaken","+41 33 822 19 28","null"
"1615370244-142","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","CC Bio Magasin","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/cc-bio-magasin.html","Grand rue 22, 2616 Renan BE","+41 32 963 15 25","null"
"1615370160-118","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Gänterli","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/gaenterli.html","Vonmattstrasse 50, 6003 Luzern","+41 41 240 59 12","null"
"1615370063-91","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Le Marché de Vie","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/le-marche-de-vie.html","25, rue des Eaux-Vives, 1207 Genève","+41 22 735 44 34","null"
"1615370339-168","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio Markt Liestal","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-markt-liestal.html","Hof Wil, 4437 Waldenburg","+41 61 961 81 87","null"
"1615369787-12","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Vital Punkt Bahnhof GmbH","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/vital-punkt-bahnhof-gmbh.html","Bahnhofplatz 3, 9500 Wil SG","+41 71 911 30 55","null"
"1615370181-124","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Egli Thun","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/egli-thun.html","Bälliz 31, 3600 Thun","+41 33 222 10 03","null"
"1615369984-68","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Naturladen","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/naturladen.html","Haus Derby, 7050 Arosa","+41 81 377 50 50","null"
"1615370328-165","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio-Ladä","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-ladae.html","Schmiedenstrasse 12, 8840 Einsiedeln","+41 55 412 41 84","null"
"1615369870-36","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Schulladen Demetrius","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/schulladen-demetrius.html","Gurnigelweg 3, 3612 Steffisburg","+41 33 438 71 00","null"
"1615370332-166","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio Servette","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-servette.html","Rte de Meyrin 3, 1202 Genève","+41 22 733 86 74","null"
"1615369929-52","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Piment Vert Sarl","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/piment-vert-sarl.html","Avenue de la Gare 10, 1814 La Tour-de-Peilz","+41 21 944 15 75","null"
"1615369877-38","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Salvia","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/salvia.html","Obertorplatz 1, 5620 Bremgarten AG","+41 56 631 14 25","null"
"1615370202-130","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Drogerie Haas GmbH","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bioladen-frauenfeld.html","Freiestrasse 22, 8500 Frauenfeld","+41 52 722 10 66","null"
"1615370282-152","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","BioPeter Frick","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/biopeter-frick.html","Widengasse 10, 5070 Frick","062 871 26 24","null"
"1615370394-184","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","atelier spirit","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/atelier-spirit.html","Geerenstrasse 7c, 8604 Kindhausen (Volketswil)","+41 43 399 57 33","null"
"1615370265-147","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","biowelt","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/biowelt.html","Bahnhofstrasse 35, 8580 Amriswil","+41 71 411 19 18","null"
"1615369960-61","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Neumühle","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/neumuehle.html","Neumühlestrasse 40, 8406 Winterthur","+41 52 202 64 31","null"
"1615369828-24","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Stiftung zur Palme","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/stiftung-zur-palme.html","Hochstrasse 31 - 33, 8330 Pfäffikon ZH","+41 44 953 31 13","null"
