1368842023978098689 2021-03-08 09:32:25 +0100 <bionetz_ch> Rundgang durch das Gut Rheinau  https://t.co/3pPPNA9HX4
1367030064907497473 2021-03-03 09:32:20 +0100 <bionetz_ch> Gärtnern im Einklang mit der Natur  https://t.co/ELDjzeG9Kx
1366653488919437313 2021-03-02 08:35:57 +0100 <bionetz_ch> Bio familia fördert Naturvielfalt mit WWF  https://t.co/WLSjTAs9nm
1365944136688369669 2021-02-28 09:37:14 +0100 <bionetz_ch> Bio familia fördert Naturvielfalt mit WWF  https://t.co/WLSjTAs9nm
1361298645551902720 2021-02-15 13:57:43 +0100 <bionetz_ch> Richtlinien für Fischwohl  https://t.co/xM7cWYmac6
1360148572264611842 2021-02-12 09:47:44 +0100 <bionetz_ch> Innovationen aus Hanf  https://t.co/40bAXZJ3VF
761079637908660224 2016-08-04 08:01:40 +0100 <bionetz_ch> Der Regional-Trend  https://t.co/cGywSZ7kIe  https://t.co/DeyXJrFLHu
760400341963866112 2016-08-02 11:02:23 +0100 <bionetz_ch> 1001 Gemüse &amp; Co.  https://t.co/IXomExYNi8
760356949326229504 2016-08-02 08:09:58 +0100 <bionetz_ch> Grüner Baumwoll-Faden  https://t.co/FCOnz1hmrX  https://t.co/M9biv2IxR8
758544164917215233 2016-07-28 08:06:36 +0100 <bionetz_ch> REWE schafft den Plastiksack ab  https://t.co/xS4YBD6bQi
757820608545554432 2016-07-26 08:11:27 +0100 <bionetz_ch> Superfood-Vergleich: Chia versus Weizenkleie  https://t.co/RWX6Dnv4Ws  https://t.co/hddM7VYg9N
757456787255726081 2016-07-25 08:05:45 +0100 <bionetz_ch> Jetzt anmelden für den PIWI Weinpreis 2016  https://t.co/J7wgTGpxIw  https://t.co/4RHhZUAV5K
756051256410513408 2016-07-21 11:00:40 +0100 <bionetz_ch> China ist der viertgrösste Bio-Markt  https://t.co/Zpjml8djNZ  https://t.co/BOT5dxRH5U
756048727056453632 2016-07-21 10:50:37 +0100 <bionetz_ch> China ist der viertgrösste Bio-Markt  https://t.co/Zpjml8djNZ  https://t.co/WZ1V9gCXK9
755709921795121156 2016-07-20 12:24:20 +0100 <bionetz_ch> Ein neues «Bewurstsein»  https://t.co/KXoJwiwrjH  https://t.co/ZDsOkuH3tJ
754783680791445504 2016-07-17 23:03:47 +0100 <bionetz_ch> 1001 Gemüse &amp; Co.  https://t.co/IXomExYNi8
753936393487941632 2016-07-15 14:56:58 +0100 <bionetz_ch> Feuer in den Alpen 2016  https://t.co/eG7bT7M9jN  https://t.co/3uOSZsxcgm
753489880374796288 2016-07-14 09:22:41 +0100 <bionetz_ch> Mehrwegbeutel statt Wegwerfplastiksäcke  https://t.co/2bVvUBBWgH  https://t.co/6r80jW0Sii
753479005576294400 2016-07-14 08:39:28 +0100 <bionetz_ch> Anmeldungsfrist für den «Grand Prix Bio Suisse 2016» nicht verpassen  https://t.co/HZDaqZ19m5
753133378220728320 2016-07-13 09:46:04 +0100 <bionetz_ch> Lebensmittel zwischen Science, Romance und Sexiness  https://t.co/LZ2rQowXAX
753128174926630912 2016-07-13 09:25:24 +0100 <bionetz_ch> Bio ist auch in den Tropen ein Erfolg  https://t.co/XabKwF7rKF  https://t.co/YussdwWRNe
753125580414062592 2016-07-13 09:15:05 +0100 <bionetz_ch> Biofach 2017: jetzt für den Swiss Pavilion anmelden  https://t.co/bl8aY6FzDU  https://t.co/miOU8J7lGM
753123033360072704 2016-07-13 09:04:58 +0100 <bionetz_ch> Vivitz Bio-Eistee ist Saldo-Testsieger  https://t.co/XLUvS10V7a  https://t.co/itMsqh3vmf
753119883219664896 2016-07-13 08:52:27 +0100 <bionetz_ch> Stabile Richtpreise für Bio-Brotgetreide  https://t.co/zA0GGpRc04  https://t.co/Nir9Ke0Vw0
753117345795731456 2016-07-13 08:42:22 +0100 <bionetz_ch> Das FiBL findet intelligente Lösungen für den Biolandbau  https://t.co/jSZYchmajZ  https://t.co/M7qtqhVO29
752869188079906821 2016-07-12 16:16:16 +0100 <bionetz_ch> Das FiBL findet intelligente Lösungen für den Biolandbau  https://t.co/jSZYchmajZ  https://t.co/jbg6mIZFBQ
752861607349391360 2016-07-12 15:46:09 +0100 <bionetz_ch> Bio ist auch in den Tropen ein Erfolg  https://t.co/XabKwF7rKF  https://t.co/iLc71xg9Gv
752853262748057600 2016-07-12 15:12:59 +0100 <bionetz_ch> Biofach 2017: jetzt für den Swiss Pavilion anmelden  https://t.co/bl8aY6FzDU  https://t.co/L0cLBzobEg
752850531769548800 2016-07-12 15:02:08 +0100 <bionetz_ch> Das FiBL findet intelligente Lösungen für den Biolandbau  https://t.co/jSZYchmajZ  https://t.co/QpPSJpeGI9
752526308303929344 2016-07-11 17:33:47 +0100 <bionetz_ch> Vivitz Bio-Eistee ist Saldo-Testsieger  https://t.co/XLUvS10V7a  https://t.co/KyIZ0p5qzb
752451711499923456 2016-07-11 12:37:22 +0100 <bionetz_ch> Stabile Richtpreise für Bio-Brotgetreide  https://t.co/zA0GGpRc04  https://t.co/tfQv1UCidL
751295643990257665 2016-07-08 08:03:34 +0100 <bionetz_ch> Zu schade zum Wegwerfen: Superfood Bananenschale  https://t.co/Y40S8ROAxJ  https://t.co/rhu1ScDU8X
750254911330328576 2016-07-05 11:08:04 +0100 <bionetz_ch> Palmöl macht krank  https://t.co/5S3t0kYJdy
748058703547498496 2016-06-29 09:41:07 +0100 <bionetz_ch> Für Boden, Pflanze, Tier und Mensch – das FiBL findet intelligente Lösungen für den...  https://t.co/jSZYchmajZ  https://t.co/sFDGFVgnLR
748057944957259776 2016-06-29 09:38:06 +0100 <bionetz_ch> Für Boden, Pflanze, Tier und Mensch – das FiBL findet intelligente Lösungen für den...  https://t.co/jSZYchmajZ  https://t.co/w1MaozjAla
747324269663653888 2016-06-27 09:02:45 +0100 <bionetz_ch> Die Supermärkte der Zukunft  https://t.co/TyZ2Wa16TE
746235712203169796 2016-06-24 08:57:12 +0100 <bionetz_ch> Greenpeace rät zu Bio-Erdbeeren  https://t.co/glI7r0STlU  https://t.co/dnsQWCUpt5
745589660605374464 2016-06-22 14:10:02 +0100 <bionetz_ch> Der Biorotwein des Jahres ist ein Zürcher  https://t.co/RJ8L1QEzzQ  https://t.co/ZWq4bH2EUv
745249835670978560 2016-06-21 15:39:41 +0100 <bionetz_ch> Ein Spaziergang durch Bio-Marché  https://t.co/h1GlBjdbGI  https://t.co/4wJJ2MICcn
743768559373942784 2016-06-17 13:33:37 +0100 <bionetz_ch> Wiederbefüllbare Kapseln  https://t.co/ztNOmgOopR
743418564527460352 2016-06-16 14:22:52 +0100 <bionetz_ch> Alpinavera hat jetzt eine APP  https://t.co/CPxuiWEMSD  https://t.co/HAqVRhtQQD
742613477739667456 2016-06-14 09:03:44 +0100 <bionetz_ch> «Unser Fokus ist der Fachhandel»  https://t.co/gWWv0JNqQW  https://t.co/I6Vu2fYHcg
742062317895090176 2016-06-12 20:33:38 +0100 <bionetz_ch> Update für die Schweizer Bioackerbauern  https://t.co/UOzpFtenGw  https://t.co/NZILGnKrEU
741236661409976320 2016-06-10 13:52:46 +0100 <bionetz_ch> Versandkostenfreie Bestellung zum 10-Jährigen  https://t.co/cuaPe0KmYu  https://t.co/eYNBY5UnV7
740801046088417280 2016-06-09 09:01:47 +0100 <bionetz_ch> Bioforschung entdecken  https://t.co/VTTrr88wUB
740101115958689792 2016-06-07 10:40:31 +0100 <bionetz_ch> 10 Jahre Bio-Gourmet-Knospe  https://t.co/rbySMmhvkK
740061479945277440 2016-06-07 08:03:01 +0100 <bionetz_ch> Fachhändler-Parcours bei Somona  https://t.co/FbMCmQOqF2  https://t.co/fBCUxoiOx7
739051270338695168 2016-06-04 13:08:48 +0100 <bionetz_ch> Marktdominanz dank Veganz  https://t.co/IdFl49O2WW  https://t.co/6W4m6ulKyr
738271396564996096 2016-06-02 09:29:52 +0100 <bionetz_ch> Kükentötung: die Schweizer Biobranche ist gefordert  https://t.co/Km6PrMEw0k
737650792975470592 2016-05-31 16:23:48 +0100 <bionetz_ch> Die Welternährung und die kleine Schweiz  https://t.co/IECGv1Hxsw  https://t.co/F2RyZBn5bq
736166647757705217 2016-05-27 14:06:20 +0100 <bionetz_ch> Bio 3.0 oder die Zukunft die ökologischen Landwirtschaft  https://t.co/dBJMNccS00  https://t.co/9gsXDXChpg
735739238474383360 2016-05-26 09:47:58 +0100 <bionetz_ch> EU erlaubt mehr Hilfs- und Zusatzstoffe für Bio-Lebensmittel  https://t.co/FF9zBoRRjz  https://t.co/ntDWqd1gtD
735461128524967937 2016-05-25 15:22:51 +0100 <bionetz_ch> Pestizid-Reduktionsplan für die Schweiz  https://t.co/hRHiWcuPK5  https://t.co/lwUkrxotcM
734708903070568449 2016-05-23 13:33:47 +0100 <bionetz_ch> «Ich will keinen Bürgerkrieg ums Essen anzetteln»  https://t.co/p7MTaF5Ly7  https://t.co/Bwv7vz1Yiv
734704826546835456 2016-05-23 13:17:35 +0100 <bionetz_ch> Anstossen mit einem Cüpli Chi  https://t.co/KNrYVtSmr6
733667543613898752 2016-05-20 16:35:47 +0100 <bionetz_ch> Schweizer Soya-Importe sind zu 94 % aus guter Produktion  https://t.co/fTVwGLTG65  https://t.co/sH0guC4lxA
732557502907359232 2016-05-17 15:04:53 +0100 <bionetz_ch> Das  https://t.co/gXhTQbtuEt feiert sein 40-Jahr-Jubiläum  https://t.co/nwZXfbncEE  https://t.co/6iK7DMlHAs
732460695896260609 2016-05-17 08:40:13 +0100 <bionetz_ch> Swiss Vegan Award für Romanin Weine  https://t.co/6nfIWc2AuP
731041465221189632 2016-05-13 10:40:42 +0100 <bionetz_ch> Fruver erfindet sich neu  https://t.co/IDoz58Jfxi  https://t.co/8oX2cvhgvK
730771150821859328 2016-05-12 16:46:34 +0100 <bionetz_ch> Grosse Geburtstagstorte für Bio-Beck Lehmann  https://t.co/QTMc9uZF8y  https://t.co/TFezIWrRra
730334337745424384 2016-05-11 11:50:49 +0100 <bionetz_ch> bionetz.ch-Hauptversammlung 2016  https://t.co/2EU9tfEqly  https://t.co/pZ7mKjYB4o
729963733561298944 2016-05-10 11:18:10 +0100 <bionetz_ch> Mekka der Biolandwirtschaft  https://t.co/hbduDiuzZ0  https://t.co/eKz4yog8Ct
728480594481582080 2016-05-06 09:04:42 +0100 <bionetz_ch> Sie kocht mit Baumrinde und Erde  https://t.co/5fHc2MZYvr  https://t.co/Z5OG8Mlrcu
727464885194477568 2016-05-03 13:48:38 +0100 <bionetz_ch> Erste KaffaWerkstatt in Kriens  https://t.co/QtBjliRmSV  https://t.co/R8yVrgy3oI
727062707753594880 2016-05-02 11:10:32 +0100 <bionetz_ch> Neuer Besucherrekord an den «biopartnertagen  https://t.co/mGtc3fKGVS  https://t.co/YhQKZ9E84b
725611390183067648 2016-04-28 11:03:31 +0100 <bionetz_ch> Uniterre-Initiative ist zustande gekommen  https://t.co/td8MDuARLP
723059241678938112 2016-04-21 10:02:11 +0100 <bionetz_ch> Bauernhofsterben: eine schlechte und eine gute Nachricht  https://t.co/ALIvMDGHvN  https://t.co/zDQwtveLdH
720854932765614081 2016-04-15 08:03:03 +0100 <bionetz_ch> Noch weniger Antibiotika für Kühe  https://t.co/rIJrc7hhHX  https://t.co/kPoRIvWUIC
720492932256686080 2016-04-14 08:04:35 +0100 <bionetz_ch> Gesucht: die besten Schweizer Bioweine  https://t.co/gTyt18jWNw  https://t.co/MK0CUnntRy
720130466444111872 2016-04-13 08:04:17 +0100 <bionetz_ch> Die Knospe auch für Lidl und Aldi  https://t.co/bk1A2EMaHq  https://t.co/6tTM2Qfqn8
719622136755810305 2016-04-11 22:24:21 +0100 <bionetz_ch> Biosphäre Entlebuch erhält Biomilchkäserei  https://t.co/aFXTRjDRDC  https://t.co/JC0KcZgMeA
718317750192631808 2016-04-08 08:01:12 +0100 <bionetz_ch> Biosoja aus der Schweiz  https://t.co/kptcPH4l1j  https://t.co/8ApNjIjZDC
715913322504314881 2016-04-01 16:46:51 +0100 <bionetz_ch> Superfood ist oft superbelastet  https://t.co/H0o6igVJfs  https://t.co/Rxk7j85udP
715566500275470336 2016-03-31 17:48:42 +0100 <bionetz_ch> KAGfreiland-Geflügel-Produkte neu bei Fidelio und Zentrum Metzg  https://t.co/iocL1y87Rz
715091821349703680 2016-03-30 10:22:30 +0100 <bionetz_ch> Pilzschaum statt Styropor  https://t.co/uh2DTE26Bx  https://t.co/jIZkPKT1Yw
714694035416432645 2016-03-29 08:01:51 +0100 <bionetz_ch> Transkontinentale Gemüsetasche  https://t.co/UrMelHicLG
714332174313472000 2016-03-28 08:03:56 +0100 <bionetz_ch> Rapunzel setzt auf Hülsenfrüchte aus Deutschland und Italien  https://t.co/ayXPKxHAxd  https://t.co/4fV1fGeFR5
712623526545592320 2016-03-23 13:54:23 +0100 <bionetz_ch> Rewe will Campina Verde komplett übernehmen  https://t.co/NeYlqCuyNd  https://t.co/0VqaScko5W
712206735403053056 2016-03-22 10:18:12 +0100 <bionetz_ch> Der faire Bio-Osterhase  https://t.co/o7UCFDTUcc  https://t.co/4XvD2q0gVv
710722739846455296 2016-03-18 08:01:20 +0100 <bionetz_ch> Steigende CO2-Konzentration vermindert Weizenqualität  https://t.co/pgM0rjU82b  https://t.co/5ORJrMxCkF
710383125747081216 2016-03-17 09:31:50 +0100 <bionetz_ch> Eine Bio-Lobbyist im Bundeshaus  https://t.co/M8oZwSgMKH  https://t.co/7V2x0LzXJd
709773712292257793 2016-03-15 17:10:14 +0100 <bionetz_ch> Die Lebenskraft der Milch  https://t.co/9xOGv0xwf2  https://t.co/BTi8yDPMat
709392022990405632 2016-03-14 15:53:32 +0100 <bionetz_ch> Veganer Zürcher Wein  https://t.co/zYlFAigXUd  https://t.co/wwOsFuFhlw
708238004977012736 2016-03-11 11:27:53 +0100 <bionetz_ch> Lidl setzt auch bei Schoggi, Palmöl und Fisch auf Nachhaltigkeit  https://t.co/jxdY82lCI1  https://t.co/ZfiHYO6ClC
707461750208274432 2016-03-09 08:03:19 +0100 <bionetz_ch> Berner Chämiwurst vom Zwergzebu  https://t.co/UIl83LZnS3  https://t.co/2Dtpi7Btno
707182360555606016 2016-03-08 13:33:08 +0100 <bionetz_ch> Bio im Aufwärtstrend – auch im Fricktal  https://t.co/BHChCbjyam  https://t.co/HHr86BgV6N
705678157215563776 2016-03-04 09:55:58 +0100 <bionetz_ch> «Degrowth, das Handbuch für eine neue Ära»  https://t.co/IIv3VoPiSb  https://t.co/ujLvkbG2k5
705360798445654017 2016-03-03 12:54:53 +0100 <bionetz_ch> Bericht bestätigt: immer mehr Patente auf Pflanzen und Tiere  https://t.co/MpvM6zytlf  https://t.co/GBmbnCDGtm
704947439011303426 2016-03-02 09:32:21 +0100 <bionetz_ch> Noch eine Initiative zu Ernährungssouveränität  https://t.co/8YXNlMboOX
703217411999326208 2016-02-26 14:57:50 +0100 <bionetz_ch> Top-Referenten am eco.naturkongress 2016  https://t.co/LP2kqaC3JE  https://t.co/HTBvlIKczT
703112897359007744 2016-02-26 08:02:32 +0100 <bionetz_ch> Isst die Welt gerecht?  https://t.co/AWGOUhR4kq  https://t.co/MkLGf2rldy
702777030459400192 2016-02-25 09:47:55 +0100 <bionetz_ch> Fair Food-Initiative: Bio Suisse fordert Gegenvorschlag  https://t.co/tKarmIyogb  https://t.co/GL8jL1bsYG
700607345085308928 2016-02-19 10:06:22 +0100 <bionetz_ch> Bio 3.0 – die Diskussion geht weiter  https://t.co/4QoxLtrK4N
700272666293497856 2016-02-18 11:56:28 +0100 <bionetz_ch> Biofach 2016: Bio ist hochmodern und auf Erfolgskurs  https://t.co/OeCw6IyiJA  https://t.co/kwPtFLdTZv
699992707784167424 2016-02-17 17:24:01 +0100 <bionetz_ch> Biomilch und -fleisch eindeutig gesünder  https://t.co/CtxjMP3iM5  https://t.co/TrEatMSLgy
699488747080052736 2016-02-16 08:01:27 +0100 <bionetz_ch> «Bio ist für mich selbstverständlich»  https://t.co/cyhwILfic7  https://t.co/c1ITJMivMn
699150768247599104 2016-02-15 09:38:27 +0100 <bionetz_ch> Ressourcenschondend Putzen mit Uni Salon  https://t.co/3Myqmr0APm  https://t.co/0gM5jnu14u
698111387814510592 2016-02-12 12:48:19 +0100 <bionetz_ch> Stadtzürcher Küchen sollen auf Palmöl verzichten  https://t.co/pPqjn6N95Y  https://t.co/TcKcad6TGk
697691912673828864 2016-02-11 09:01:29 +0100 <bionetz_ch> Bio wächst global weiter  https://t.co/xrjF1udtOa  https://t.co/SSIVUwxJNg
697314596382777344 2016-02-10 08:02:09 +0100 <bionetz_ch> 2015 war ein schlechtes Honigjahr  https://t.co/XtBwZqbUBc  https://t.co/taZkEQeFqM
697061519171969024 2016-02-09 15:16:31 +0100 <bionetz_ch> Crevetten; Bioproduktion ist unbedenklich  https://t.co/OAO5N41ZsL
696694075030900737 2016-02-08 14:56:26 +0100 <bionetz_ch> «Zwei Hände, eine Landwirtschaft»  https://t.co/Fs7Snxw0uh  https://t.co/gVPVeltwBm
696611327121477632 2016-02-08 09:27:37 +0100 <bionetz_ch> Biosoja-Wissen zum Downloaden  https://t.co/mPcFcBXYW2  https://t.co/vlYDYQGvK0
695659233036128256 2016-02-05 18:24:20 +0100 <bionetz_ch> Neuer Dummy Eintrag  https://t.co/bqJJat4qHK
694438244524691457 2016-02-02 09:32:34 +0100 <bionetz_ch> Migros im Alnatura-Clinch  https://t.co/51Xx2RhYIc  https://t.co/PEetG6vVpt
694078224167505920 2016-02-01 09:41:58 +0100 <bionetz_ch> Zu wenig Biomilch für Züger  https://t.co/Yed5OqHwCO  https://t.co/1RZnSGSp0E
694053073036124160 2016-02-01 08:02:02 +0100 <bionetz_ch> Biorohstoffe nachhaltig weiterverarbeiten  https://t.co/tDzCVYr9xv  https://t.co/89mJhLvtCz
692637488511328256 2016-01-28 10:17:00 +0100 <bionetz_ch> Warum Gaia so schnell unterging  https://t.co/LplzXQtGxW  https://t.co/bZpAuq7IO8
691644196252454912 2016-01-25 16:30:01 +0100 <bionetz_ch> Neues Tool für Nachhaltigkeitsbewertungen im Lebensmittelsektor  https://t.co/GL6rRvRrsG  https://t.co/NlknmEFDnc
690484572753117184 2016-01-22 11:42:05 +0100 <bionetz_ch> Emmi übernimmt deutsche Biomolkerei vollständig  https://t.co/R4zryQLgia  https://t.co/yf5qIk4Kfr
690477020162211840 2016-01-22 11:12:04 +0100 <bionetz_ch> SIPPO an der BIOFACH 2016   https://t.co/WbgyaVPHTm  https://t.co/vKOgddtjiR
690087104374775808 2016-01-21 09:22:41 +0100 <bionetz_ch> Milch: Preisspanne zwischen Bio und konventionell wächst  https://t.co/7jc2EGhFqL  https://t.co/41fHxiOnDD
689371521307967488 2016-01-19 09:59:13 +0100 <bionetz_ch> Anhörung zu Monsantos Patent auf indische Melonen  https://t.co/qeFakuZk9I
687168187432071168 2016-01-13 08:03:57 +0100 <bionetz_ch> Verkauf der Biodis an Biopartner  https://t.co/rX9UMsq5gU
685381234525106176 2016-01-08 09:43:14 +0100 <bionetz_ch> Noch knapp 3000 Tonnen Bio-Äpfel und -Birnen im Lagerbestand  https://t.co/lA9CL1unnu  https://t.co/OqqGgqqFsH
684630856544186368 2016-01-06 08:01:30 +0100 <bionetz_ch> «Wir wollen die Fachhändler erfolgreicher machen»  https://t.co/BsSbS4qbDg
679195048202866688 2015-12-22 08:01:32 +0100 <bionetz_ch> Billige Schokolade macht nicht glücklich  https://t.co/PJxmlkHzgm  https://t.co/NcPZXG21Ck
678877794978385926 2015-12-21 11:00:53 +0100 <bionetz_ch> Der Bundesrat verlängert das Gentech-Moratorium  https://t.co/UcF2s7bnZc  https://t.co/wBu0gWO0H3
676658357424492544 2015-12-15 08:01:38 +0100 <bionetz_ch> BIOFACH 2016: Bio braucht Emotion, Romance und digitale Vernetzung  https://t.co/oJGsygyJJ0  https://t.co/ypdiEVhFNO
676433183529951232 2015-12-14 17:06:53 +0100 <bionetz_ch> Aletschgletscher retten mit Biolandbau in Nicaragua  https://t.co/ieAMO3k32d
674846508890636288 2015-12-10 08:02:00 +0100 <bionetz_ch> Unterschreiben Sie gegen «Patente auf Pflanzen»  https://t.co/h2el6P4OPe  https://t.co/WWZDIHL3sY
674484452169531392 2015-12-09 08:03:19 +0100 <bionetz_ch> Palmöl-Anteil in Produkten steigt kontinuierlich  https://t.co/9I7lD0NwFn
671964527366418433 2015-12-02 09:10:02 +0100 <bionetz_ch> Bio-Futter nur noch aus Europa  https://t.co/DWQjLliyTA  https://t.co/Pd8YVjkNK3
671613608758009856 2015-12-01 09:55:36 +0100 <bionetz_ch> Wie bio ist Bio-Ananas aus Uganda?  https://t.co/ar5Ey7Wx1y  https://t.co/4KC2fJQxFB
669871400392515584 2015-11-26 14:32:42 +0100 <bionetz_ch> NGOs kritisieren den Umgang mit Stevia  https://t.co/rRsaSJ3om5  https://t.co/Z2OxtLCBnj
669570546930184192 2015-11-25 18:37:13 +0100 <bionetz_ch> Schweizer Birnen haben Potenzial  https://t.co/rvL3NyTX9i  https://t.co/8f7z0dGB6D
669064713599393792 2015-11-24 09:07:13 +0100 <bionetz_ch> «Grosses Gold» für Bio-Dessertwein aus dem Jura  https://t.co/8sgDQ9ooxd  https://t.co/GJagtCYNyF
668712121350414340 2015-11-23 09:46:08 +0100 <bionetz_ch> Veganer essen nur selten Fleischersatz  https://t.co/SFWoPFkuyq  https://t.co/f9W3ulxPAB
667265822226833408 2015-11-19 09:59:03 +0100 <bionetz_ch> Alnatura ist vor allem Import  https://t.co/mKeQV2AYAE  https://t.co/svDerSz2XI
666525787080826880 2015-11-17 08:58:25 +0100 <bionetz_ch> Wo auch Spitzenköche auf Produzenten treffen  https://t.co/hVsQycO33f  https://t.co/RjArkMACfl
665088446957002752 2015-11-13 09:46:57 +0100 <bionetz_ch> 250 Schweizer Verkaufsstellen - und Alnatura will weiter wachsen  https://t.co/oqvKNDL5Hb
664711912517668864 2015-11-12 08:50:44 +0100 <bionetz_ch> DV Bio Suisse lehnt Spermasexting ab und verleiht Förderpreis  https://t.co/bGZ6w4sG1Q
664342882355159041 2015-11-11 08:24:20 +0100 <bionetz_ch> Naturkosmetik erreicht den Mainstream  https://t.co/UbklecKCWZ  https://t.co/mOewwOAFpa
662226844352159744 2015-11-05 12:15:57 +0100 <bionetz_ch> Brütten ZH lädt 2016 zum Schweizer Bio-Ackerbautag  https://t.co/3w72os7FiE
661819089078362112 2015-11-04 09:15:41 +0100 <bionetz_ch> Ich bin auch ein Bettenfachgeschäft  https://t.co/n3JJM4oPR6  https://t.co/2EeSvZ7Tts
659644835993919488 2015-10-29 09:15:59 +0100 <bionetz_ch> Neugegründet: der Verein Schweizer Regionalprodukte  https://t.co/nhb6BKZKec
659317041107746816 2015-10-28 11:33:26 +0100 <bionetz_ch> Die prächtigsten Wiesen 2015  https://t.co/p3nGUSv8UY  https://t.co/qsSbZKMxxP
658921600646041600 2015-10-27 09:22:06 +0100 <bionetz_ch> Nur jede zweite Kartoffel landet auf einem Teller  https://t.co/9F7Ml934ns  https://t.co/Nq8WSkktLV
657075163717046272 2015-10-22 08:05:01 +0100 <bionetz_ch> 31 Schweizer Lebensmittel-Labels neu bewertet  https://t.co/u4wahcMPNo  https://t.co/Tt85MfbDPj
656349664799772673 2015-10-20 08:02:09 +0100 <bionetz_ch> Heute nicht verpassen: «Bio vs. Konventionell» im «Kassensturz»  https://t.co/OKVQgRdOJx
655999835615571968 2015-10-19 08:52:03 +0100 <bionetz_ch> Pestizid-Cocktails in Schweizer Gewässern  http://t.co/T8x6Zt1zw3
654908315143700480 2015-10-16 08:34:44 +0100 <bionetz_ch> Anuga 2015: Der Zeitgeist will «Vegan» und «Free from»  http://t.co/QgnlPcTFh3  http://t.co/nFd08woQjd
654580573659365376 2015-10-15 10:52:24 +0100 <bionetz_ch> Verdacht bestätigt: Nikotinoide töten die Bienen  http://t.co/kBf3bDYw7h  http://t.co/0ac0940Z94
653935243339108352 2015-10-13 16:08:06 +0100 <bionetz_ch> Vegane Horizonterweiterung an der Gourmesse  http://t.co/xFoaCKjS3a  http://t.co/8u4UXEqJQZ
653468102471065601 2015-10-12 09:11:51 +0100 <bionetz_ch> Biodynamischer Cinquecento  http://t.co/qs1X3TA9QV  http://t.co/BsO5V5hlz9
652363901477199872 2015-10-09 08:04:09 +0100 <bionetz_ch> Globis «Wald- und Wiesenkochbuch»  http://t.co/VzqTHK9lNd  http://t.co/IRy9g0v1wc
652096853425713153 2015-10-08 14:22:59 +0100 <bionetz_ch> Naturweine lädt zur Degu ein  http://t.co/zXVpqqJBqH  http://t.co/kqXqJEsr80
651300083535843328 2015-10-06 09:36:55 +0100 <bionetz_ch> Fachtagung Veledes/bionetz.ch: jetzt anmelden!  http://t.co/jep4fOBs7I  http://t.co/rgvAFm4wVW
649325997884575744 2015-09-30 22:52:36 +0100 <bionetz_ch> alpinavera-Käser gewinnt eine goldene Sennerharfe  http://t.co/wU5zOH994S
648819122910941185 2015-09-29 13:18:28 +0100 <bionetz_ch> Deutsches Saatgut weniger gentechnisch belastet  http://t.co/UZJ5bF3Vuf
648465755797909505 2015-09-28 13:54:18 +0100 <bionetz_ch> Orientierung im Beautydschungel  http://t.co/TJsmvB2TiR  http://t.co/GvvI9IQekJ
646202771780280320 2015-09-22 08:02:01 +0100 <bionetz_ch> 100 Argumente für den Biolandbau  http://t.co/Up7ehs2RXU
644444450241052672 2015-09-17 11:35:04 +0100 <bionetz_ch> Fairtrade International veröffentlicht weltweite Zahlen  http://t.co/rzgIXOlaxv
644056126787579904 2015-09-16 09:52:01 +0100 <bionetz_ch> Rohmilch stärkt die Atemwege von Kleinkindern  http://t.co/m5iw3Nvc3l  http://t.co/31iY5YuwV0
643319251420495872 2015-09-14 09:03:56 +0100 <bionetz_ch> Bits over Bites: GDI veröffentlicht neue Food-Studie  http://t.co/ok1DiwRRDd  http://t.co/SPLkhFp0NM
641203335094239232 2015-09-08 12:56:02 +0100 <bionetz_ch> Save the Date: Wädenswiler Lebensmitteltagung  http://t.co/uLCan9FKU7  http://t.co/vdS0PARxQL
639392296757260293 2015-09-03 12:59:37 +0100 <bionetz_ch> Verzeichnis mit über 150 Schweizer Bio-Restaurants  http://t.co/StBxbrz2mI  http://t.co/Jbx0N3cPRa
638602391286321152 2015-09-01 08:40:49 +0100 <bionetz_ch> Werden Sie Labelkenner!  http://t.co/WGlU02waWl
633205828804341760 2015-08-17 11:16:48 +0100 <bionetz_ch> Mehr Power für die Bioforschung  http://t.co/tRdrZsAi6h
632091200993009664 2015-08-14 09:27:40 +0100 <bionetz_ch> Ustemer Bioladen «Apfelbaum» hat Diversity-Charta unterzeichnet  http://t.co/DyNbFqDzrp
631764325036900353 2015-08-13 11:48:47 +0100 <bionetz_ch> Der Regenwurm ist immer der Gärtner  http://t.co/gFmzQUZk4k  http://t.co/xAIqw1XWD7
630672270797721600 2015-08-10 11:29:21 +0100 <bionetz_ch> Fairer Handel erzielte 2014 über 1 Mia. Euro in Deutschland  http://t.co/ZqoaDYTJXr  http://t.co/pacXwxchgi
629652061584539648 2015-08-07 15:55:24 +0100 <bionetz_ch> Aussaat von Gentech-Raps in Deutschland vorerst verhindert  http://t.co/QuX7jEUjQZ  http://t.co/SWwbHsGBmK
627097395092828160 2015-07-31 14:44:04 +0100 <bionetz_ch> CO-FREE an der Expo Mailand vorgestellt  http://t.co/QHSCdfVGru
626720610698330112 2015-07-30 13:46:52 +0100 <bionetz_ch> Getreide: gute Ernte eingefahren  http://t.co/vh4OmvQX9i  http://t.co/LdX3azXK1Y
624858738147651585 2015-07-25 10:28:27 +0100 <bionetz_ch> 6000ster Schweizer Knospe-Produzent  http://t.co/VI2UGb06ye
